ID,UUID,name,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
4.005,3B956811-9D40-452C-BAC2-FBA122630C43,"Unterlagsboden Anhydrit, 60 mm",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","2,000",kg,,,215,172,42.5,0.461,0.407,0.407,0,0.0548,0.0323,0.0301,0.0301,0,0.00221,0.429,0.376,0.376,0,0.0526,0.0911,0.0784,0.0127,0
4.006,B0F22D3F-709D-408F-9ACA-1533FA4C7F45,"Unterlagsboden Zement, 85 mm",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","1,850",kg,0.7,"SIA 279:2018, assumed from Zementputz",206,163,42.5,0.268,0.213,0.213,0,0.0548,0.0366,0.0344,0.0344,0,0.00221,0.231,0.179,0.179,0,0.0526,0.12,0.107,0.0127,0
4.007,E68F96C7-984A-47B5-B17C-B2806BD1CF1C,Waermedaemmputz EPS,91.139,"Entsorgung, Moertel, Putze",250,kg,0.07,SIA 279:2018,964,921,43,1.94,1.88,1.46,0.424,0.0545,0.151,0.148,0.148,0,0.00208,1.79,1.74,1.31,0.424,0.0524,0.727,0.714,0.0127,0
4.014,223F00DA-C2D9-4971-879F-F391648A0155,Weisszementputz,91.139,"Entsorgung, Moertel, Putze",1550,kg,,,507,464,43,1.04,0.987,0.987,0,0.0545,0.141,0.139,0.139,0,0.00208,0.901,0.848,0.848,0,0.0524,0.353,0.341,0.0127,0
4.009,382D5231-E4CF-42D6-B935-D41BA653E3EE,Zementputz,91.139,"Entsorgung, Moertel, Putze",1550,kg,0.7,SIA 279:2018,391,348,42.5,0.782,0.728,0.728,0,0.0545,0.128,0.126,0.126,0,0.00208,0.654,0.602,0.602,0,0.0524,0.261,0.248,0.0127,0
5.008,297C8AF9-6B6F-47A2-9F51-A0D37EFCB892,"Fassade, Pfosten-Riegel, Alu/Glas 1",91.135,"Entsorgung, Fassade, Pfosten-Riegel, Alu/Glas",-,m2,,,"329,000","313,000","15,500",776,771,771,0,5.72,73.2,72.8,72.8,0,0.49,703,698,698,0,5.23,182,169,13.1,0
5.022,5905B6AD-722F-40CB-9877-57D366B4ABF4,"Fassadenplatte, Aluverbund, 4 mm",91.103,"Entsorgung, Fassadenplatte, Aluverbund, 4 mm",7.1,m2,,,"74,900","66,600","8,270",216,216,216,0,0.921,24,24,24,0,0.0511,192,192,192,0,0.87,43.3,35.7,7.65,0
05.028.01,33d095f4-9d1b-4bbb-bd49-2bc99388facd,"Fassadenplatte, Glasfaserbeton Ecomur, 15mm",91.061,"Entsorgung, Beton",33.6,m2,,,"44,886","43,680","1,206",91.160832,89.3424,89.3424,0,1.818432,17.166912,17.1024,17.1024,0,0.064512,73.99392,72.24,72.24,0,1.75392,29.76288,29.3328,0.43008,0
05.028.02,e87386b1-baac-4021-8cdb-e9588c9cfeaa,"Fassadenplatte, Glasfaserbeton Ecomur, 18mm",91.061,"Entsorgung, Beton",40.3,m2,,,"53,837","52,390","1,447",109.338736,107.1577,107.1577,0,2.181036,20.590076,20.5127,20.5127,0,0.077376,88.74866,86.645,86.645,0,2.10366,35.69774,35.1819,0.51584,0
5.023,4722E1EF-E1A5-470C-8310-F4DC0300F7F3,"Fassadenplatte, Hochdrucklaminatplatte (HPL), 8.1 mm",91.106,"Entsorgung, HPL-Fassadenplatten",11.6,m2,,,"73,400","58,400","15,000",282,279,216,63.2,3.26,84.4,84.2,47.5,36.7,0.205,198,195,168,26.5,3.05,46,33.3,12.6,3.28
5.025,D4B0ECEB-1E00-4A60-A09E-D631A07E2EE3,"Fassadenplatte, Kalkstein, 30 mm",91.14,"Entsorgung, Fassade, mineralisch, Kalkstein",78,m2,,,"11,000","7,670","3,310",28.4,24.2,24.2,0,4.28,2.04,1.87,1.87,0,0.172,26.4,22.3,22.3,0,4.1,5.74,4.75,0.989,0
