hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,1.0,0.1,0.1,0.08,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_01,1.0,0.1,0.1,0.04,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_02,1.0,0.1,0.1,0.01,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_03,1.0,0.1,0.1,0.01,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_04,1.0,0.1,0.1,0.02,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_05,1.0,0.2,0.2,0.38,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_06,0.4,0.8,0.8,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_07,0.0,0.2,0.2,0.81,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_08,0.0,0.1,0.1,0.67,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_09,0.0,0.1,0.1,0.51,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_10,0.0,0.1,0.1,0.45,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_11,0.0,0.1,0.1,0.42,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_12,0.8,0.8,0.8,0.63,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_13,0.4,0.2,0.2,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_14,0.0,0.1,0.1,0.32,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_15,0.0,0.1,0.1,0.28,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_16,0.0,0.1,0.1,0.32,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_17,0.4,0.2,0.2,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_18,0.8,0.8,0.8,0.79,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_19,0.8,1.0,1.0,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_20,0.8,0.2,0.2,0.62,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_21,1.0,0.2,0.2,0.45,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_22,1.0,0.2,0.2,0.25,SETBACK,SETBACK,0.0,0.0,0.0
Weekday_23,1.0,0.1,0.1,0.19,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_00,1.0,0.1,0.1,0.09,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_01,1.0,0.1,0.1,0.1,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_02,1.0,0.1,0.1,0.06,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_03,1.0,0.1,0.1,0.02,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_04,1.0,0.1,0.1,0.02,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_05,1.0,0.2,0.2,0.12,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_06,0.4,0.8,0.8,0.33,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_07,0.0,0.2,0.2,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_08,0.0,0.1,0.1,0.91,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_09,0.0,0.1,0.1,0.9,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_10,0.0,0.1,0.1,0.81,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_11,0.0,0.1,0.1,0.87,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_12,0.8,0.8,0.8,0.88,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_13,0.4,0.2,0.2,0.7,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_14,0.0,0.1,0.1,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_15,0.0,0.1,0.1,0.44,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_16,0.0,0.1,0.1,0.56,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_17,0.4,0.2,0.2,0.72,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_18,0.8,0.8,0.8,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_19,0.8,1.0,1.0,0.79,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_20,0.8,0.2,0.2,0.44,SETPOINT,SETPOINT,0.0,0.0,0.0
Saturday_21,1.0,0.2,0.2,0.43,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_22,1.0,0.2,0.2,0.35,SETBACK,SETBACK,0.0,0.0,0.0
Saturday_23,1.0,0.1,0.1,0.21,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_00,1.0,0.1,0.1,0.11,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_01,1.0,0.1,0.1,0.08,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_02,1.0,0.1,0.1,0.06,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_03,1.0,0.1,0.1,0.02,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_04,1.0,0.1,0.1,0.02,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_05,1.0,0.2,0.2,0.06,SETBACK,SETBACK,0.0,0.0,0.0
Sunday_06,0.4,0.8,0.8,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_07,0.0,0.2,0.2,0.41,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_08,0.0,0.1,0.1,0.65,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_09,0.0,0.1,0.1,0.86,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_10,0.0,0.1,0.1,0.95,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_11,0.0,0.1,0.1,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_12,0.8,0.8,0.8,0.86,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_13,0.4,0.2,0.2,0.74,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_14,0.0,0.1,0.1,0.58,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_15,0.0,0.1,0.1,0.51,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_16,0.0,0.1,0.1,0.29,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_17,0.4,0.2,0.2,0.55,SETPOINT,SETPOINT,0.0,0.0,0.0
Sunday_18,0.8,0.8,0.8,0.72,SETPOINT,SETPOINT,0.0,0.0,0.0
