Date,roofs_top_kW,roofs_top_m2,walls_east_kW,walls_east_m2,walls_north_kW,walls_north_m2,walls_south_kW,walls_south_m2,walls_west_kW,walls_west_m2,windows_east_kW,windows_east_m2,windows_north_kW,windows_north_m2,windows_south_kW,windows_south_m2,windows_west_kW,windows_west_m2
2005-01-01 00:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 01:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 02:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 03:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 04:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 05:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 06:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 07:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 08:00:00,2.5,624.66,1.06,531.1,1.06,531.11,1.06,531.11,1.06,531.1,0.19,93.72,0.19,93.72,0.19,93.72,0.19,93.72
2005-01-01 09:00:00,44.35,624.66,58.21,531.1,16.69,531.11,65.6,531.11,16.92,531.1,9.97,93.72,2.93,93.72,11.68,93.72,2.99,93.72
2005-01-01 10:00:00,81.03,624.66,70.41,531.1,28.25,531.11,101.08,531.11,30.55,531.1,12.3,93.72,4.94,93.72,17.69,93.72,5.36,93.72
2005-01-01 11:00:00,110.56,624.66,70.83,531.1,33.8,531.11,147.18,531.11,40.46,531.1,12.36,93.72,5.93,93.72,25.79,93.72,7.1,93.72
2005-01-01 12:00:00,113.21,624.66,51.41,531.1,35.6,531.11,143.63,531.11,50.12,531.1,8.96,93.72,6.23,93.72,25.2,93.72,8.81,93.72
2005-01-01 13:00:00,94.32,624.66,39.61,531.1,32.08,531.11,115.63,531.11,59.67,531.1,6.9,93.72,5.62,93.72,20.28,93.72,10.47,93.72
2005-01-01 14:00:00,68.09,624.66,28.9,531.1,25.89,531.11,80.22,531.11,56.1,531.1,5.05,93.72,4.55,93.72,14.06,93.72,9.87,93.72
2005-01-01 15:00:00,34.98,624.66,14.25,531.1,13.68,531.11,60.59,531.11,55.08,531.1,2.49,93.72,2.38,93.72,10.7,93.72,9.88,93.72
2005-01-01 16:00:00,1.25,624.66,0.53,531.1,0.53,531.11,0.53,531.11,0.53,531.1,0.09,93.72,0.09,93.72,0.09,93.72,0.09,93.72
2005-01-01 17:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 18:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 19:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 20:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 21:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 22:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-01 23:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 00:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 01:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 02:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 03:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 04:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 05:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 06:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 07:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
2005-01-02 08:00:00,4.37,624.66,2.12,531.1,2.08,531.11,2.12,531.11,2.07,531.1,0.37,93.72,0.37,93.72,0.37,93.72,0.36,93.72
2005-01-02 09:00:00,51.64,624.66,83.64,531.1,17.68,531.11,95.99,531.11,17.9,531.1,14.22,93.72,3.11,93.72,17.11,93.72,3.16,93.72
2005-01-02 10:00:00,82.9,624.66,75.02,531.1,27.66,531.11,109.91,531.11,29.9,531.1,13.12,93.72,4.83,93.72,19.27,93.72,5.26,93.72
2005-01-02 11:00:00,102.44,624.66,65.23,531.1,33.38,531.11,126.47,531.11,39.9,531.1,11.39,93.72,5.88,93.72,22.16,93.72,7.0,93.72
2005-01-02 12:00:00,99.32,624.66,48.41,531.1,33.73,531.11,116.47,531.11,46.89,531.1,8.44,93.72,5.9,93.72,20.41,93.72,8.23,93.72
2005-01-02 13:00:00,99.95,624.66,40.81,531.1,33.02,531.11,125.66,531.11,63.14,531.1,7.11,93.72,5.78,93.72,22.07,93.72,11.09,93.72
2005-01-02 14:00:00,79.33,624.66,31.23,531.1,27.96,531.11,100.49,531.11,68.16,531.1,5.45,93.72,4.93,93.72,17.63,93.72,11.98,93.72
2005-01-02 15:00:00,41.23,624.66,16.76,531.1,16.1,531.11,59.47,531.11,54.0,531.1,2.95,93.72,2.83,93.72,10.46,93.72,9.65,93.72
2005-01-02 16:00:00,1.25,624.66,0.53,531.1,0.53,531.11,0.53,531.11,0.53,531.1,0.09,93.72,0.09,93.72,0.09,93.72,0.09,93.72
2005-01-02 17:00:00,0.0,624.66,0.0,531.1,0.0,531.11,0.0,531.11,0.0,531.1,0.0,93.72,0.0,93.72,0.0,93.72,0.0,93.72
