Date,roofs_top_kW,roofs_top_m2,walls_east_kW,walls_east_m2,walls_north_kW,walls_north_m2,walls_south_kW,walls_south_m2,walls_west_kW,walls_west_m2,windows_east_kW,windows_east_m2,windows_north_kW,windows_north_m2,windows_south_kW,windows_south_m2,windows_west_kW,windows_west_m2
2009-01-01 00:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 01:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 02:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 03:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 04:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 05:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 06:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 07:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 08:00:00,4.75,1188.21,0.82,455.53,0.18,190.68,0.2,190.68,0.9,455.53,0.69,343.65,0.14,143.85,0.14,143.85,0.69,343.65
2009-01-01 09:00:00,84.51,1188.21,44.91,455.53,2.19,190.68,7.22,190.68,11.37,455.53,34.09,343.65,1.9,143.85,4.6,143.85,8.93,343.65
2009-01-01 10:00:00,153.93,1188.21,54.69,455.53,4.07,190.68,11.57,190.68,21.04,455.53,43.02,343.65,3.42,143.85,7.31,143.85,16.43,343.65
2009-01-01 11:00:00,208.1,1188.21,56.66,455.53,4.92,190.68,12.61,190.68,27.71,455.53,44.26,343.65,3.91,143.85,10.04,143.85,21.51,343.65
2009-01-01 12:00:00,212.37,1188.21,39.29,455.53,5.24,190.68,12.56,190.68,33.76,455.53,30.72,343.65,4.11,143.85,9.98,143.85,25.98,343.65
2009-01-01 13:00:00,174.88,1188.21,26.65,455.53,4.67,190.68,12.69,190.68,40.24,455.53,20.96,343.65,3.6,143.85,8.31,143.85,30.93,343.65
2009-01-01 14:00:00,129.48,1188.21,18.95,455.53,3.59,190.68,9.28,190.68,37.74,455.53,14.98,343.65,2.88,143.85,5.93,143.85,29.14,343.65
2009-01-01 15:00:00,65.64,1188.21,8.65,455.53,1.89,190.68,5.73,190.68,32.71,455.53,7.01,343.65,1.47,143.85,2.39,143.85,25.02,343.65
2009-01-01 16:00:00,2.38,1188.21,0.46,455.53,0.06,190.68,0.09,190.68,0.46,455.53,0.34,343.65,0.06,143.85,0.06,143.85,0.34,343.65
2009-01-01 17:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 18:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 19:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 20:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 21:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 22:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-01 23:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 00:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 01:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 02:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 03:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 04:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 05:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 06:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 07:00:00,0.0,1188.21,0.0,455.53,0.0,190.68,0.0,190.68,0.0,455.53,0.0,343.65,0.0,143.85,0.0,143.85,0.0,343.65
2009-01-02 08:00:00,8.32,1188.21,1.38,455.53,0.29,190.68,0.37,190.68,1.41,455.53,1.1,343.65,0.26,143.85,0.26,143.85,1.03,343.65
2009-01-02 09:00:00,98.83,1188.21,67.0,455.53,2.34,190.68,10.24,190.68,11.89,455.53,49.49,343.65,2.13,143.85,6.19,143.85,9.35,343.65
2009-01-02 10:00:00,157.67,1188.21,59.17,455.53,4.07,190.68,12.49,190.68,20.53,455.53,46.32,343.65,3.39,143.85,7.74,143.85,16.01,343.65
2009-01-02 11:00:00,192.66,1188.21,50.88,455.53,4.78,190.68,11.56,190.68,27.43,455.53,39.86,343.65,3.86,143.85,9.03,143.85,21.37,343.65
