AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
490.739975158,B021,srf0,walls,371558.464028,-0.913092668516,140551.839885,0.407752104473,32.5,-0.0,west
264.271564367,B021,srf1,walls,371558.464028,-0.913092668516,140551.839885,0.407752104473,25.2316345712,-0.0,west
264.271564367,B021,srf2,walls,371572.229176,-0.913092668516,140582.664633,0.407752104473,8.26836542876,-0.0,west
490.739975158,B021,srf3,walls,371569.052982,-0.913092668516,140575.552077,0.407752104473,8.26836542876,-0.0,west
264.271564367,B021,srf4,walls,371579.641936,-0.913092668516,140599.264269,0.407752104473,39.7683654288,-0.0,west
264.271564367,B021,srf5,walls,371572.229176,-0.913092668516,140582.664633,0.407752104473,56.7316345712,-0.0,west
490.739975158,B021,srf6,walls,371569.052982,-0.913092668516,140575.552077,0.407752104473,56.7316345712,-0.0,west
490.739975158,B021,srf7,walls,371579.641936,-0.913092668516,140599.264269,0.407752104473,32.5,-0.0,west
109.004149461,B021,srf8,walls,371514.655956,-0.766603584863,140515.107262,0.642120661305,8.26836542876,-0.0,west
58.7005309505,B021,srf9,walls,371513.544943,-0.766603584863,140513.780866,0.642120661305,8.26836542876,-0.0,west
58.7005309505,B021,srf10,walls,371515.766969,-0.766603584863,140516.433659,0.642120661305,56.7316345712,-0.0,west
109.004149461,B021,srf11,walls,371514.655956,-0.766603584863,140515.107262,0.642120661305,56.7316345712,-0.0,west
109.004149461,B021,srf12,walls,371510.952007,-0.766603584863,140510.685257,0.642120661305,32.5,-0.0,west
58.7005309509,B021,srf13,walls,371510.952007,-0.766603584863,140510.685257,0.642120661305,39.7683654288,-0.0,west
109.004149461,B021,srf14,walls,371518.359906,-0.766603584863,140519.529268,0.642120661305,32.5,-0.0,west
58.7005309509,B021,srf15,walls,371518.359906,-0.766603584863,140519.529268,0.642120661305,25.2316345712,-0.0,west
942.091245208,B021,srf16,walls,371459.993745,-0.766603427841,140551.055395,0.642120848768,32.5,-0.0,west
507.33166188,B021,srf17,walls,371459.993745,-0.766603427841,140551.055395,0.642120848768,25.2316345712,-0.0,west
507.33166188,B021,srf18,walls,371501.608083,-0.766603427841,140600.737155,0.642120848768,8.26836542876,-0.0,west
942.091245208,B021,srf19,walls,371492.005917,-0.766603427841,140589.273499,0.642120848768,8.26836542876,-0.0,west
507.33166188,B021,srf20,walls,371524.01809,-0.766603427841,140627.491602,0.642120848768,39.7683654288,-0.0,west
942.091245208,B021,srf21,walls,371524.01809,-0.766603427841,140627.491602,0.642120848768,32.5,-0.0,west
942.091245208,B021,srf22,walls,371492.005917,-0.766603427841,140589.273499,0.642120848768,56.7316345712,-0.0,west
507.33166188,B021,srf23,walls,371501.608083,-0.766603427841,140600.737155,0.642120848768,56.7316345712,-0.0,west
409.660664107,B021,srf24,walls,371659.363068,-0.913092708016,140545.53913,0.40775201602,8.26836542876,-0.0,west
220.609019122,B021,srf25,walls,371656.71164,-0.913092708016,140539.601699,0.40775201602,8.26836542876,-0.0,west
220.609019122,B021,srf26,walls,371650.523607,-0.913092708016,140525.74463,0.40775201602,39.7683654288,-0.0,west
409.660664107,B021,srf27,walls,371650.523607,-0.913092708016,140525.74463,0.40775201602,32.5,-0.0,west
220.609019121,B021,srf28,walls,371668.202529,-0.913092708016,140565.333631,0.40775201602,39.7683654288,-0.0,west
220.609019122,B021,srf29,walls,371662.014496,-0.913092708016,140551.476561,0.40775201602,56.7316345712,-0.0,west
409.660664106,B021,srf30,walls,371668.202529,-0.913092708016,140565.333631,0.40775201602,32.5,-0.0,west
409.660664107,B021,srf31,walls,371659.363068,-0.913092708016,140545.53913,0.40775201602,56.7316345712,-0.0,west
