building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level_8_12b,zone9,group_office_zone,3.0,26.0,4*6.5
create_level_8_12b,zone10,group_office_zone,3.0,12.8,4*3.2
create_level_8_12b,zone11,group_office_zone,3.0,29.16,4*7.29
create_level_8_12b,zone12,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_13a,zone1,open_space_zone,4.8,178.464,17.16*10.4
create_level_8_13a,zone2,open_space_zone,4.8,248.8896,10.44*23.84
create_level_8_13a,zone3,group_office_zone,3.0,29.0142,3.98*7.29
create_level_8_13a,zone4,group_office_zone,3.0,12.736,3.98*3.2
create_level_8_13a,zone5,group_office_zone,3.0,12.736,3.98*3.2
create_level_8_13a,zone6,group_office_zone,3.0,12.6564,3.98*3.18
create_level_8_13a,zone7,group_office_zone,3.0,13.0,4*3.25
create_level_8_13a,zone8,group_office_zone,3.0,12.8,4*3.2
create_level_8_13a,zone9,group_office_zone,3.0,26.0,4*6.5
create_level_8_13a,zone10,group_office_zone,3.0,12.8,4*3.2
create_level_8_13a,zone11,group_office_zone,3.0,29.16,4*7.29
create_level_8_13a,zone12,open_space_zone,4.8,80.0,80
create_level_8_13a,zone13,open_space_zone,4.8,64.2712,9.98*6.44
create_level_8_14a,zone1,open_space_zone,4.8,178.464,17.16*10.4
create_level_8_14a,zone2,open_space_zone,4.8,248.8896,10.44*23.84
create_level_8_14a,zone3,group_office_zone,3.0,29.0142,3.98*7.29
create_level_8_14a,zone4,group_office_zone,3.0,12.736,3.98*3.2
create_level_8_14a,zone5,group_office_zone,3.0,12.736,3.98*3.2
create_level_8_14a,zone6,group_office_zone,3.0,12.6564,3.98*3.18
create_level_8_14a,zone7,group_office_zone,3.0,13.0,4*3.25
create_level_8_14a,zone8,group_office_zone,3.0,12.8,4*3.2
create_level_8_14a,zone9,group_office_zone,3.0,26.0,4*6.5
create_level_8_14a,zone10,group_office_zone,3.0,12.8,4*3.2
create_level_8_14a,zone11,group_office_zone,3.0,29.16,4*7.29
create_level_8_14a,zone12,open_space_zone,4.8,52.0,52
create_level_8_14a,zone13,open_space_zone,4.8,28.0,28
create_level_8_14a,zone14,open_space_zone,4.8,64.2712,9.98*6.44
,,,,,
