zone_type,heat_capacity,base_surface_type,ceiling_surface_type,infiltration_rate,internal_gain_type,window_type,blind_type,hvac_generic_type,hvac_ahu_type,hvac_tu_type,zone_constraint_profile
open_space_zone,heat_capacity_zone,base_ceiling,base_ceiling,infiltration_rate,internal_gain_default,,,hvac_generic_default,hvac_ahu_default,hvac_tu_default,zone_constraint_default
group_office_zone,heat_capacity_zone,base_ceiling,base_ceiling,infiltration_rate,internal_gain_default,,,hvac_generic_default,hvac_ahu_default,hvac_tu_default,zone_constraint_default
