,Q_DH_networkload,Q_aux_ch,Q_aux_dech,Q_from_storage_used,Q_missing,Q_storage_content_Wh,Q_to_storage,Solar_Q_th_W,mdot_DH_fin
7661,556694.0,0.0,0.0,0.0,556694.0,0.0,0.0,0.0,19.723420700538817
7662,1602478.0,0.0,0.0,0.0,1602478.0,0.0,0.0,0.0,27.954749574030647
7663,5773756.0,0.0,0.0,0.0,5773756.0,0.0,0.0,0.0,62.919312510609934
7664,5743795.0,0.0,0.0,0.0,5743795.0,0.0,0.0,0.0,61.88386346031728
7665,5436796.0,0.0,0.0,0.0,5436796.0,0.0,0.0,0.0,59.18501101232953
7666,5700380.0,0.0,0.0,0.0,5700380.0,0.0,0.0,0.0,61.88386346031728
7667,5218731.0,0.0,0.0,0.0,5218731.0,0.0,0.0,0.0,60.217354698866394
7668,4959381.0,0.0,0.0,0.0,4959381.0,0.0,0.0,0.0,56.362788398543856
7669,4956326.0,0.0,0.0,0.0,4956326.0,0.0,0.0,0.0,52.8515158913291
7670,4882466.0,0.0,0.0,0.0,4882466.0,0.0,0.0,0.0,51.69406305603934
7671,4914143.0,0.0,0.0,0.0,4914143.0,0.0,0.0,0.0,53.825325031908406
7672,4185063.0,0.0,0.0,0.0,4185063.0,0.0,0.0,0.0,47.55365044105906
7673,4398574.0,0.0,0.0,0.0,4398574.0,0.0,0.0,0.0,50.59085191041755
7674,1035273.0,0.0,0.0,0.0,1035273.0,0.0,0.0,0.0,26.919697030474893
7675,1065978.0,0.0,0.0,0.0,1065978.0,0.0,0.0,0.0,27.866826883539034
7676,1116811.0,0.0,0.0,0.0,1116811.0,0.0,0.0,0.0,27.866826883539034
7677,466385.00000000006,0.0,0.0,0.0,466385.00000000006,0.0,0.0,0.0,17.577665791674267
7678,298741.0,0.0,0.0,0.0,298741.0,0.0,0.0,0.0,16.630535938610112
7679,304676.0,0.0,0.0,0.0,304676.0,0.0,0.0,0.0,16.630535938610112
7680,233632.0,0.0,0.0,0.0,233632.0,0.0,0.0,0.0,16.31482598758873
7681,256768.0,0.0,0.0,0.0,256768.0,0.0,0.0,0.0,16.31482598758873
7682,294003.0,0.0,0.0,0.0,294003.0,0.0,0.0,0.0,17.42107356852291
7683,313581.0,0.0,0.0,0.0,313581.0,0.0,0.0,0.0,18.37265820596168
7684,325767.0,0.0,0.0,0.0,325767.0,0.0,0.0,0.0,18.37265820596168
7685,605340.0,0.0,0.0,0.0,605340.0,0.0,0.0,0.0,19.723420700538817
7686,1696197.0,0.0,0.0,0.0,1696197.0,0.0,0.0,0.0,27.954749574030643
7687,5263084.0,0.0,0.0,0.0,5263084.0,0.0,0.0,0.0,58.28808983709424
7688,5271128.0,0.0,0.0,0.0,5271128.0,0.0,0.0,0.0,58.288053521241885
