code,pipe_DN,D_ext_m,D_int_m,D_ins_m,Vdot_min_m3s,Vdot_max_m3s,Inv_USD2015perm
DN20,20,0.0269,0.0216,0.11,0.00010971269349282719,0.0004861700017105956,109.6869417890351
DN25,25,0.0337,0.0285,0.11,0.00019135740686768813,0.0011841986634650752,112.30397694514669
DN32,32,0.0434,0.037200000000000004,0.125,0.00032644187262861847,0.0024461802328990707,116.0981969171358
DN40,40,0.0484,0.0431,0.125,0.0004384436511024887,0.0035470429881169227,120.61991488028083
DN50,50,0.0603,0.0545,0.14,0.0007015247348572909,0.006242556818552617,126.5488046211735
DN65,65,0.0761,0.0703,0.16,0.0011677932488762385,0.011237633703936833,136.0146773656582
DN80,80,0.0889,0.0825,0.18,0.0016085692251130278,0.016114912131652493,146.16176561824668
DN100,100,0.1143,0.1071,0.225,0.002711156823083279,0.028722164871930113,155.84812652093981
DN125,125,0.1397,0.1325,0.25,0.004149258372439969,0.04574332170628127,189.5965458061911
DN150,150,0.1683,0.1603,0.28,0.006071779552327754,0.06920165486187863,203.47721379764727
DN200,200,0.2191,0.2101,0.355,0.010424962369432387,0.12441672966790872,248.91549684919715
DN250,250,0.273,0.263,0.45,0.016324749745853535,0.2026394809022746,309.9235412261034
DN300,300,0.3239,0.31270000000000003,0.5,0.023062067095411122,0.2956216181641789,383.99279247207846
DN350,350,0.3556,0.34440000000000004,0.56,0.027962443538204394,0.3652918452178702,468.33039329245616
DN400,400,0.4064,0.39380000000000004,0.63,0.036533488935212466,0.49071081543188144,537.7002858569865
DN450,450,0.4572,0.4446,0.67,0.04653225699694482,0.6420592775906582,591.4669697034101
DN500,500,0.508,0.4954,0.8,0.05772951462780959,0.8172210593635644,683.564365641903
DN600,600,0.61,0.5958,0.9,0.08337320910000096,1.2378759944002846,814.5945267419742
DN700,700,0.711,0.6950000000000001,1.0,0.11327505421568684,1.757795843377522,1060.7673373856308
DN800,800,0.8130000000000001,0.7954,1.1,0.14813623965824918,2.3982421064251906,1209.725300999968
DN900,900,0.914,0.894,1.2,0.18685240099592818,3.147508494847455,1596.9290431760942
DN1000,1000,1.016,0.994,1.3,0.2306307703430042,4.037754872782907,1911.5017719945167
DN1100,1100,1.118,1.0956900900000002,1.4887830773,0.279786396525867,5.086548769557528,2075.2538752754895
DN1200,1200,1.219,1.19529828,1.6152744772999998,0.3324469075121919,6.2628865134022424,2310.1445224913127
DN1300,1300,1.32487069,1.2949064700000001,1.7417658773,0.38954991811338946,7.595322613016156,2642.2886102455373
DN1400,1400,1.42678382,1.3945146600000002,1.8682572773,0.4510734903932984,9.092421142063717,2936.1902494807987
DN1500,1500,1.52869695,1.4941228500000001,1.9947486772999998,0.5169956864157574,10.76274617420937,3234.4235135846557
