DATE,Name,E_sys_kWh,Qhs_sys_kWh,Qww_sys_kWh,Qcs_sys_kWh
2005-01-01 00:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 01:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 02:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 03:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 04:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 05:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 06:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 07:00:00,B09,2.582,0.0,0.0,0.0
2005-01-01 08:00:00,B09,3.103,0.0,0.0,0.0
2005-01-01 09:00:00,B09,3.625,0.0,0.0,0.0
2005-01-01 10:00:00,B09,4.147,0.0,0.0,0.0
2005-01-01 11:00:00,B09,4.147,0.0,0.0,0.0
2005-01-01 12:00:00,B09,3.103,0.0,0.0,0.0
2005-01-01 13:00:00,B09,3.625,0.0,0.0,0.0
2005-01-01 14:00:00,B09,3.103,0.0,0.0,0.0
2005-01-01 15:00:00,B09,4.147,0.0,0.0,0.0
2005-01-01 16:00:00,B09,4.147,0.0,0.0,0.0
2005-01-01 17:00:00,B09,3.103,0.0,0.0,0.0
2005-01-01 18:00:00,B09,2.582,0.0,0.0,0.0
2005-01-01 19:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 20:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 21:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 22:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-01 23:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 00:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 01:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 02:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 03:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 04:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 05:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 06:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 07:00:00,B09,2.582,0.0,0.0,0.0
2005-01-02 08:00:00,B09,3.103,0.0,0.0,0.0
2005-01-02 09:00:00,B09,3.625,0.0,0.0,0.0
2005-01-02 10:00:00,B09,4.147,0.0,0.0,0.0
2005-01-02 11:00:00,B09,4.147,0.0,0.0,0.0
2005-01-02 12:00:00,B09,3.103,0.0,0.0,0.0
2005-01-02 13:00:00,B09,3.625,0.0,0.0,0.0
2005-01-02 14:00:00,B09,3.103,0.0,0.0,0.0
2005-01-02 15:00:00,B09,4.147,0.0,0.0,0.0
2005-01-02 16:00:00,B09,4.147,0.0,0.0,0.0
2005-01-02 17:00:00,B09,3.103,0.0,0.0,0.0
2005-01-02 18:00:00,B09,2.582,0.0,0.0,0.0
2005-01-02 19:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 20:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 21:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 22:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-02 23:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 00:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 01:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 02:00:00,B09,2.335,2.568,0.0,0.0
2005-01-03 03:00:00,B09,2.335,4.97,0.0,0.0
2005-01-03 04:00:00,B09,2.335,7.227,0.0,0.0
2005-01-03 05:00:00,B09,2.335,9.349,0.0,0.0
2005-01-03 06:00:00,B09,2.335,11.325999999999999,0.0,0.0
2005-01-03 07:00:00,B09,4.718,247.583,2.642,0.0
2005-01-03 08:00:00,B09,9.359,233.537,3.2960000000000003,0.0
2005-01-03 09:00:00,B09,18.059,202.78900000000002,4.853,0.0
2005-01-03 10:00:00,B09,18.586,183.868,6.42,0.0
2005-01-03 11:00:00,B09,10.345999999999998,180.30599999999998,6.4110000000000005,0.0
2005-01-03 12:00:00,B09,5.19,172.046,3.2769999999999997,0.0
2005-01-03 13:00:00,B09,9.832,157.994,4.831,0.0
2005-01-03 14:00:00,B09,17.554000000000002,139.93200000000002,6.403,0.0
2005-01-03 15:00:00,B09,18.597,136.29,6.406000000000001,0.0
2005-01-03 16:00:00,B09,6.233,144.78799999999998,3.281,0.0
2005-01-03 17:00:00,B09,3.1180000000000003,141.859,1.781,0.0
2005-01-03 18:00:00,B09,2.582,0.0,0.0,0.0
2005-01-03 19:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 20:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 21:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 22:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-03 23:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 00:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 01:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 02:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 03:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 04:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 05:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 06:00:00,B09,2.3209999999999997,0.0,0.0,0.0
2005-01-04 07:00:00,B09,4.656000000000001,176.13,2.001,0.0
2005-01-04 08:00:00,B09,9.298,166.81,3.295,0.0
2005-01-04 09:00:00,B09,18.059,153.773,4.8580000000000005,0.0
