code,pipe_DN,D_ext_m,D_int_m,D_ins_m,Vdot_min_m3s,Vdot_max_m3s,Inv_USD2015perm
DN20,20,0.0269,0.0216,0.11,0.00010971269349282719,0.0004861700017105956,491.5286645384411
DN25,25,0.0337,0.0285,0.11,0.00019135740686768813,0.0011841986634650752,497.763700452248
DN32,32,0.0434,0.037200000000000004,0.125,0.00032644187262861847,0.0024461802328990707,531.0172253258846
DN40,40,0.0484,0.0431,0.125,0.0004384436511024887,0.0035470429881169227,549.7223330673052
DN50,50,0.0603,0.0545,0.14,0.0007015247348572909,0.006242556818552617,622.4644187283853
DN65,65,0.0761,0.0703,0.16,0.0011677932488762385,0.011237633703936833,675.4622239957437
DN80,80,0.0889,0.0825,0.18,0.0016085692251130278,0.016114912131652493,774.1836259643522
DN100,100,0.1143,0.1071,0.225,0.002711156823083279,0.028722164871930113,956.0388401170525
DN125,125,0.1397,0.1325,0.25,0.004149258372439969,0.04574332170628127,1148.2857807927642
DN150,150,0.1683,0.1603,0.28,0.006071779552327754,0.06920165486187863,1384.1779728651238
DN200,200,0.2191,0.2101,0.355,0.010424962369432387,0.12441672966790872,1648.1278265496144
DN250,250,0.273,0.263,0.45,0.016324749745853535,0.2026394809022746,2207.20271348763
DN300,300,0.3239,0.31270000000000003,0.5,0.023062067095411122,0.2956216181641789,2766.2776004256452
DN350,350,0.3556,0.34440000000000004,0.56,0.027962443538204394,0.3652918452178702,3325.3524873636607
DN400,400,0.4064,0.39380000000000004,0.63,0.036533488935212466,0.49071081543188144,3884.427374301676
DN450,450,0.4572,0.4446,0.67,0.04653225699694482,0.6420592775906582,4443.502261239692
DN500,500,0.508,0.4954,0.8,0.05772951462780959,0.8172210593635644,5002.577148177707
DN600,600,0.61,0.5958,0.9,0.08337320910000096,1.2378759944002846,5561.652035115723
DN700,700,0.711,0.6950000000000001,1.0,0.11327505421568684,1.757795843377522,6120.726922053738
DN800,800,0.8130000000000001,0.7954,1.1,0.14813623965824918,2.3982421064251906,6679.801808991754
DN900,900,0.914,0.894,1.2,0.18685240099592818,3.147508494847455,7238.876695929769
DN1000,1000,1.016,0.994,1.3,0.2306307703430042,4.037754872782907,7797.951582867785
DN1100,1100,1.118,1.0956900900000002,1.4887830773,0.279786396525867,5.086548769557528,8325.13092268
DN1200,1200,1.219,1.19529828,1.6152744772999998,0.3324469075121919,6.2628865134022424,8741.825998560002
DN1300,1300,1.32487069,1.2949064700000001,1.7417658773,0.38954991811338946,7.595322613016156,9101.83190644
DN1400,1400,1.42678382,1.3945146600000002,1.8682572773,0.4510734903932984,9.092421142063717,9405.148646320002
DN1500,1500,1.52869695,1.4941228500000001,1.9947486772999998,0.5169956864157574,10.76274617420937,9651.7762182
