Name,floors_bg,height_bg,floors_ag,height_ag
"B001",0,0,54,189
"B002",0,0,6,21
"B003",0,0,12,42
"B004",0,0,6,21
"B005",0,0,18,63
"B006",0,0,12,42
"B007",0,0,12,42
"B008",0,0,12,42
"B009",0,0,12,42
"B010",0,0,6,21
