hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,1.0,0.5,0.5,0.0,OFF,SETBACK,0.0,0.0,0.0
Weekday_01,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Weekday_02,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Weekday_03,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Weekday_04,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Weekday_05,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Weekday_06,1.0,0.5,0.5,0.8,OFF,SETPOINT,0.0,0.0,0.0
Weekday_07,0.9,0.7,0.7,0.7,OFF,SETPOINT,0.0,0.0,0.0
Weekday_08,0.4,0.7,0.7,0.5,OFF,SETPOINT,0.0,0.0,0.0
Weekday_09,0.25,0.7,0.7,0.4,OFF,SETPOINT,0.0,0.0,0.0
Weekday_10,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Weekday_11,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Weekday_12,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Weekday_13,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Weekday_14,0.25,0.7,0.7,0.5,OFF,SETPOINT,0.0,0.0,0.0
Weekday_15,0.25,0.7,0.7,0.6,OFF,SETPOINT,0.0,0.0,0.0
Weekday_16,0.3,0.8,0.8,0.7,OFF,SETPOINT,0.0,0.0,0.0
Weekday_17,0.5,1.0,1.0,0.7,OFF,SETPOINT,0.0,0.0,0.0
Weekday_18,0.9,1.0,1.0,0.4,OFF,SETBACK,0.0,0.0,0.0
Weekday_19,0.9,0.9,0.9,0.25,OFF,SETBACK,0.0,0.0,0.0
Weekday_20,0.9,0.9,0.9,0.2,OFF,SETBACK,0.0,0.0,0.0
Weekday_21,1.0,0.8,0.8,0.2,OFF,SETBACK,0.0,0.0,0.0
Weekday_22,1.0,0.7,0.7,0.05,OFF,SETBACK,0.0,0.0,0.0
Weekday_23,1.0,0.6,0.6,0.05,OFF,SETBACK,0.0,0.0,0.0
Saturday_00,1.0,0.5,0.5,0.0,OFF,SETBACK,0.0,0.0,0.0
Saturday_01,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Saturday_02,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Saturday_03,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Saturday_04,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Saturday_05,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Saturday_06,1.0,0.5,0.5,0.8,OFF,SETPOINT,0.0,0.0,0.0
Saturday_07,0.9,0.7,0.7,0.7,OFF,SETPOINT,0.0,0.0,0.0
Saturday_08,0.4,0.7,0.7,0.5,OFF,SETPOINT,0.0,0.0,0.0
Saturday_09,0.25,0.7,0.7,0.4,OFF,SETPOINT,0.0,0.0,0.0
Saturday_10,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Saturday_11,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Saturday_12,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Saturday_13,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Saturday_14,0.25,0.7,0.7,0.5,OFF,SETPOINT,0.0,0.0,0.0
Saturday_15,0.25,0.7,0.7,0.6,OFF,SETPOINT,0.0,0.0,0.0
Saturday_16,0.3,0.8,0.8,0.7,OFF,SETPOINT,0.0,0.0,0.0
Saturday_17,0.5,1.0,1.0,0.7,OFF,SETPOINT,0.0,0.0,0.0
Saturday_18,0.9,1.0,1.0,0.4,OFF,SETBACK,0.0,0.0,0.0
Saturday_19,0.9,0.9,0.9,0.25,OFF,SETBACK,0.0,0.0,0.0
Saturday_20,0.9,0.9,0.9,0.2,OFF,SETBACK,0.0,0.0,0.0
Saturday_21,1.0,0.8,0.8,0.2,OFF,SETBACK,0.0,0.0,0.0
Saturday_22,1.0,0.7,0.7,0.05,OFF,SETBACK,0.0,0.0,0.0
Saturday_23,1.0,0.6,0.6,0.05,OFF,SETBACK,0.0,0.0,0.0
Sunday_00,1.0,0.5,0.5,0.0,OFF,SETBACK,0.0,0.0,0.0
Sunday_01,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Sunday_02,1.0,0.4,0.4,0.0,OFF,SETBACK,0.0,0.0,0.0
Sunday_03,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Sunday_04,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Sunday_05,1.0,0.4,0.4,0.05,OFF,SETBACK,0.0,0.0,0.0
Sunday_06,1.0,0.5,0.5,0.8,OFF,SETPOINT,0.0,0.0,0.0
Sunday_07,0.9,0.7,0.7,0.7,OFF,SETPOINT,0.0,0.0,0.0
Sunday_08,0.4,0.7,0.7,0.5,OFF,SETPOINT,0.0,0.0,0.0
Sunday_09,0.25,0.7,0.7,0.4,OFF,SETPOINT,0.0,0.0,0.0
Sunday_10,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Sunday_11,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Sunday_12,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
Sunday_13,0.25,0.7,0.7,0.25,OFF,SETPOINT,0.0,0.0,0.0
