hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_01,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_02,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_03,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_04,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_05,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Weekday_06,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.31,0.0,0.0
Weekday_07,0.5,0.7,0.7,0.17,OFF,SETPOINT,0.28,0.0,0.0
Weekday_08,0.6,0.9,0.9,0.58,OFF,SETPOINT,0.3,0.0,0.0
Weekday_09,0.8,0.9,0.9,0.66,OFF,SETPOINT,0.31,0.0,0.0
Weekday_10,0.8,0.9,0.9,0.78,OFF,SETPOINT,0.32,0.0,0.0
Weekday_11,0.8,0.9,0.9,0.82,OFF,SETPOINT,0.32,0.0,0.0
Weekday_12,0.8,0.9,0.9,0.71,OFF,SETPOINT,0.32,0.0,0.0
Weekday_13,0.8,0.9,0.9,0.82,OFF,SETPOINT,0.31,0.0,0.0
Weekday_14,0.8,0.9,0.9,0.78,OFF,SETPOINT,0.32,0.0,0.0
Weekday_15,0.8,0.9,0.9,0.74,OFF,SETPOINT,0.33,0.0,0.0
Weekday_16,0.8,0.6,0.6,0.63,OFF,SETPOINT,0.33,0.0,0.0
Weekday_17,0.6,0.6,0.6,0.41,OFF,SETPOINT,0.32,0.0,0.0
Weekday_18,0.5,0.6,0.6,0.18,OFF,SETPOINT,0.31,0.0,0.0
Weekday_19,0.5,0.6,0.6,0.18,OFF,SETPOINT,0.27,0.0,0.0
Weekday_20,0.4,0.6,0.6,0.18,OFF,SETPOINT,0.26,0.0,0.0
Weekday_21,0.4,0.6,0.6,0.15,OFF,SETPOINT,0.26,0.0,0.0
Weekday_22,0.4,0.6,0.6,0.15,OFF,SETPOINT,0.27,0.0,0.0
Weekday_23,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.25,0.0,0.0
Saturday_00,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_01,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_02,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_03,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_04,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_05,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_06,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_07,0.5,0.5,0.5,0.15,OFF,SETPOINT,0.22,0.0,0.0
Saturday_08,0.6,0.65,0.65,0.2,OFF,SETPOINT,0.23,0.0,0.0
Saturday_09,0.6,0.65,0.65,0.28,OFF,SETPOINT,0.24,0.0,0.0
Saturday_10,0.6,0.65,0.65,0.3,OFF,SETPOINT,0.24,0.0,0.0
Saturday_11,0.6,0.65,0.65,0.3,OFF,SETPOINT,0.07,0.0,0.0
Saturday_12,0.6,0.65,0.65,0.24,OFF,SETPOINT,0.06,0.0,0.0
Saturday_13,0.6,0.65,0.65,0.24,OFF,SETPOINT,0.06,0.0,0.0
Saturday_14,0.6,0.65,0.65,0.23,OFF,SETPOINT,0.06,0.0,0.0
Saturday_15,0.6,0.65,0.65,0.23,OFF,SETPOINT,0.06,0.0,0.0
Saturday_16,0.6,0.65,0.65,0.23,OFF,SETPOINT,0.05,0.0,0.0
Saturday_17,0.5,0.65,0.65,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_18,0.5,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_19,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_20,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_21,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_22,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Saturday_23,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.05,0.0,0.0
Sunday_00,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Sunday_01,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Sunday_02,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Sunday_03,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Sunday_04,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
Sunday_05,0.4,0.4,0.4,0.15,OFF,SETPOINT,0.22,0.0,0.0
