,geometry,Name,Building,Node_int,GRID0_kW,Type
67,POINT (371033.2383867408 140716.1140485014),Node67,B067,67.0,2568.19693207,CONSUMER
68,POINT (371219.462191461 140841.8142334817),Node68,B068,68.0,2282.91138339,CONSUMER
69,POINT (371267.7355846169 140547.8664681728),Node69,B069,69.0,1659.97373219,CONSUMER
70,POINT (371137.4516049612 140910.5076999134),Node70,B070,70.0,2531.5165658,CONSUMER
71,POINT (370956.6510526158 140559.9302247504),Node71,B071,71.0,3194.19807595,CONSUMER
72,POINT (370963.4406446914 140653.1790593382),Node72,B072,72.0,2260.51194599,CONSUMER
73,POINT (371080.9879782145 140941.9509501004),Node73,B073,73.0,1222.94780267,CONSUMER
74,POINT (371029.8503393936 140880.899551381),Node74,B074,74.0,2566.63132352,CONSUMER
75,POINT (371136.9146117776 141049.202672213),Node75,B075,75.0,2074.36636639,CONSUMER
76,POINT (370995.9115268284 141013.2123550387),Node76,B076,76.0,2892.66650295,CONSUMER
77,POINT (370944.7738908094 140952.1609413438),Node77,B077,77.0,1694.81005656,CONSUMER
78,POINT (371047.0491728921 141074.2637807257),Node78,B078,78.0,1847.62859875,CONSUMER
79,POINT (371132.1142366245 140914.9783706929),Node79,B079,79.0,2453.66431036,CONSUMER
80,POINT (371034.7999782976 140806.2027714578),Node80,B080,80.0,1608.33846582,CONSUMER
81,POINT (371226.3045043699 140836.0829954528),Node81,B081,81.0,1976.64466832,CONSUMER
82,POINT (371116.7891303287 140715.273030059),Node82,B082,82.0,2519.71354794,CONSUMER
83,POINT (371099.0480352475 140551.3074157015),Node83,B083,83.0,2725.54639313,CONSUMER
84,POINT (371310.9768220726 140721.089427436),Node84,B084,84.0,2761.12914595,CONSUMER
85,POINT (371190.1997580703 140633.8572667403),Node85,B085,85.0,2050.88526189,CONSUMER
86,POINT (371325.2996326727 140753.1629870342),Node86,B086,86.0,1335.47136493,CONSUMER
87,POINT (371253.9800435619 140396.7930459037),Node87,B087,87.0,2905.44908329,CONSUMER
