ID,UUID,name,ID_recycling,recycling_method,density,unit,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product,,
00.011,53A125FB-F71E-4A1A-9191-DE111E0DF8C0,"Baugrubensicherung, Spundwand, gespriesst",91.084,"Entsorgung, Baugrubensicherung, Spundwand, gespriesst",-,m2,"162,000","161,000",926,438,435,435,0,2,25,25,25,0,0,413,410,410,0,2,96,95,1,0,"Blindage de fouille, paroi de palplanche, étayé","Élimination, blindage de fouille, paroi de palplanche, étayé"
00.012,9AA11301-7957-4139-BC09-9F57072238EC,"Baugrubensicherung, Spundwand, verankert",91.085,"Entsorgung, Baugrubensicherung, Spundwand, verankert",-,m2,"173,000","168,000","4,210",431,424,424,0,7,23,23,23,0,0,408,401,401,0,7,103,101,2,0,"Blindage de fouille, paroi de palplanche, fixe","Élimination, blindage de fouille, paroi de palplanche, fixe"
00.013,B4015EF4-695C-47BF-9CD8-A8AF5CE3C0CB,"Tiefgründung, Mikrobohrpfahl",91.086,"Entsorgung, Tiefgründung, Mikrobohrpfahl",-,m,"52,500","52,500",0,118,118,118,0,0,9,9,9,0,0,110,110,110,0,0,31,31,0,0,"Fondations profondes, micropieu ","Élimination, fondations profondes, micropieu"
00.014,D6B4CD48-CFD0-45DD-8F39-F2877B8DE652,"Tiefgründung, Ortbetonbohrpfahl, 700 mm",91.087,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 700mm",-,m,"258,000","258,000",0,396,396,396,0,0,29,29,29,0,0,367,367,367,0,0,163,163,0,0,"Fondations profondes, pieu coulé sur site, 700 mm","Élimination, fondations profondes, pieu coulé sur site, 700 mm"
00.015,EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,"Tiefgründung, Ortbetonbohrpfahl, 900 mm",91.088,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 900mm",-,m,"377,000","377,000",0,550,550,550,0,0,45,45,45,0,0,505,505,505,0,0,244,244,0,0,"Fondations profondes, pieu coulé sur site, 900 mm","Élimination, fondations profondes, pieu coulé sur site, 900 mm"
00.016,DEED59B5-BB81-4104-9BAE-D78266DC439E,"Tiefgründung, Ortbetonbohrpfahl, 1200 mm",91.089,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 1200mm",-,m,"579,000","579,000",0,822,822,822,0,0,71,71,71,0,0,751,751,751,0,0,379,379,0,0,"Fondations profondes, pieu coulé sur site, 1200 mm","Élimination, fondations profondes, pieu coulé sur site, 1200 mm"
00.017,13247483-F3F9-449C-87D0-6B956AB03E50,"Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm",91.090,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 560/480mm",-,m,"122,000","122,000",0,229,229,229,0,0,14,14,14,0,0,215,215,215,0,0,77,77,0,0,"Fondations profondes, pieux forés vissés, 560/480 mm","Élimination, fondations profondes, pieux forés vissés, 560/480 mm"
00.018,26ED1BEC-5B9B-4820-8481-A544231F80EE,"Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm",91.091,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 660/580mm",-,m,"153,000","153,000",0,274,274,274,0,0,18,18,18,0,0,256,256,256,0,0,96,96,0,0,"Fondations profondes, pieux forés vissés, 660/580 mm","Élimination, fondations profondes, pieux forés vissés, 660/580 mm"
00.019,4EACB020-C81C-482A-8817-F3DE92E1F6D6,"Tiefgründung, Rüttelstopfsäule",91.092,"Entsorgung, Tiefgründung, Rüttelstopfsäule",-,m,"30,800","30,800",0,30,30,30,0,0,2,2,2,0,0,29,29,29,0,0,7,7,0,0,"Fondations profondes, colonnes ballastées","Élimination, fondations profondes, colonnes ballastées"
00.020,4FE800F8-909C-4102-9E3F-525A7AD89DCE,"Tiefgründung, Vorgefertigter Betonpfahl",91.093,"Entsorgung, Tiefgründung, Vorgefertigter Betonpfahl",-,m,"44,600","44,600",0,64,64,64,0,0,5,5,5,0,0,59,59,59,0,0,29,29,0,0,"Fondations profondes, pieu en béton préfabriqué","Élimination, fondations profondes, pieu en béton préfabriqué"
00.021,85D42D88-963C-488B-B94E-C9FD0985CF27,"Wasserhaltung, Pumphöhe 2.5 m",91.094,"Entsorgung, Wasserhaltung, Pumphöhe 2.5m",-,m3,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Épuisement des eaux, hauteur de refoulement, 2,5 m","Élimination, épuisement des eaux, hauteur de refoulement, 2,5 m"
00.022,3058E4BA-F5B1-42AF-8905-745801085D2B,"Wasserhaltung, Pumphöhe 5 m",91.095,"Entsorgung, Wasserhaltung, Pumphöhe 5m",-,m3,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Épuisement des eaux, hauteur de refoulement, 5 m","Élimination, épuisement des eaux, hauteur de refoulement, 5 m"
00.023,50066F27-9A16-4226-9BD9-6C53C61B330B,"Wasserhaltung, Pumphöhe 7.5 m",91.096,"Entsorgung, Wasserhaltung, Pumphöhe 7.5m",-,m3,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Épuisement des eaux, hauteur de refoulement, 7,5 m","Élimination, épuisement des eaux, hauteur de refoulement, 7,5 m"
00.024,AA3FB687-B165-4723-8F83-3389DE7747B7,"Wasserhaltung, Pumphöhe 10 m",91.097,"Entsorgung, Wasserhaltung, Pumphöhe 10m",-,m3,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Épuisement des eaux, hauteur de refoulement, 10 m","Élimination, épuisement des eaux, hauteur de refoulement, 10 m"
01.001,A05F4D90-D030-49B6-A08A-BAD5228E3552,Magerbeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,150",kg,104.0,68.8,35.4,0.139,0,0,0,0,0.010,0,0,0,0,0.128,0,0,0,0,0.0628,0.0502,0.01260,0,Béton maigre (sans armature),"Élimination, béton"
01.001.01,2ad0afc4-ce26-42db-b236-b382bb8b7e50,"Magerbeton, NovoCon Sohlenbeton, 150 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","1,610",kg,104.0,69.1,35.2,0.156,0,0,0,0,0.013,0,0,0,0,0.144,0,0,0,0,0.0660,0.0534,0.0126,0,"Béton maigre, NovoCon Sohlenbeton, 150 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,Hochbaubeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,300",kg,153.0,118.0,35.2,0.190,0,0,0,0,0.015,0,0,0,0,0.175,0,0,0,0,0.1010,0.0887,0.0126,0,Béton pour bâtiment (sans armature),"Élimination, béton"
01.002.01,b192ea20-d93b-4bef-8614-f093119153f2,"Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,269",kg,174.0,138.0,35.4,0.799,1,0,0,0,0.581,1,0,0,0,0.218,0,0,0,0,0.1050,0.0920,0.0127,0,"Béton Klark Variété A 131-0, 280kg CEM II/B (sans armature)","Élimination, béton"
01.002.02,4df05637-c63d-4717-b192-b8f0c012f9f8,"Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,293",kg,180.0,145.0,35.4,0.834,1,1,0,0,0.609,1,0,0,0,0.225,0,0,0,0,0.1100,0.0970,0.0127,0,"Béton Klark Variété A 131-0, 300kg CEM II/B (sans armature)","Élimination, béton"
01.002.03,2e9dbf82-4f7c-4a8a-8d4f-db7b19af32dc,"Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,333",kg,187.0,151.0,35.4,0.873,1,1,0,0,0.640,1,0,0,0,0.232,0,0,0,0,0.1140,0.1010,0.0127,0,"Béton Klark Variété B 231-0, 320kg CEM II/B (sans armature)","Élimination, béton"
01.002.04,0413443a-cd20-4c31-802a-be812508223d,"Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,353",kg,192.0,157.0,35.4,0.910,1,1,0,0,0.668,1,0,0,0,0.242,0,0,0,0,0.1190,0.1070,0.0127,0,"Béton Klark Variété C 331-0, 340kg CEM II/B (sans armature)","Élimination, béton"
01.002.05,c1989bc1-f9af-493f-b151-024126e43aec,"Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,350",kg,145.0,109.0,35.4,0.210,0,0,0,0,0.016,0,0,0,0,0.194,0,0,0,0,0.0967,0.0837,0.0130,0,"Béton pour bâtiment, zirkulit® NPK A, 280kg CEM II/B (sans armature)","Élimination, béton"
01.002.06,1d86392d-5541-4bc2-80b1-b16ed591d9b9,"Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,350",kg,153.0,117.0,35.4,0.218,0,0,0,0,0.016,0,0,0,0,0.201,0,0,0,0,0.1020,0.0888,0.0130,0,"Béton pour bâtiment, zirkulit® NPK C, 300kg CEM II/B (sans armature)","Élimination, béton"
01.002.07,93b87002-5582-4fe7-be54-78d9b37aa188,"Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,311",kg,142.0,106.0,35.2,0.177,0,0,0,0,0.015,0,0,0,0,0.162,0,0,0,0,0.0904,0.0778,0.0126,0,"Béton pour bâtiment, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (sans armature)","Élimination, béton"
01.002.08,61e656cb-703b-4a7e-b37a-5a66caf11509,"Hochbaubeton, NovoCon Light C25/E30, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,311",kg,134.0,99.2,35.2,0.192,0,0,0,0,0.015,0,0,0,0,0.177,0,0,0,0,0.0836,0.0710,0.0126,0,"Béton pour bâtiment, NovoCon Light C25/E30, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.09,4ec4081f-ee91-4c8b-8891-0a02f03355ef,"NovoCon RC-C25/E28, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,292",kg,,,,,,,,,,,,,,,,,,,,,,,"NovoCon RC-C25/E28, NPK A, 280 kg CEM II/B-LL (sans armature)","Élimination, béton"
01.002.10,f5bafd96-ff44-4bb7-8af5-db92c208f035,"Hochbaubeton, NovoCon C50/E25, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,272",kg,130.0,94.3,35.2,0.191,0,0,0,0,0.014,0,0,0,0,0.176,0,0,0,0,0.0839,0.0713,0.0126,0,"Béton pour bâtiment, NovoCon C50/E25, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.12,e819c673-9c19-49e8-a7da-00c4fcac09a8,"Hochbaubeton, NovoCon C50/E25, NPK C, 300 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,264",kg,137.0,102.0,35.2,0.205,0,0,0,0,0.015,0,0,0,0,0.190,0,0,0,0,0.0899,0.0773,0.0126,0,"Béton pour bâtiment, NovoCon C50/E25, NPK C, 300 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.11,c467b9e9-608b-4434-ab38-2b5415391a74,"Hochbaubeton, NovoCon RC-M10/E20, NPK A, 280 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,253",kg,129.0,93.3,35.2,0.192,0,0,0,0,0.014,0,0,0,0,0.178,0,0,0,0,0.0844,0.0718,0.0126,0,"Béton pour bâtiment, NovoCon RC-M10/E20, NPK A, 280 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002.13,2e04ff74-0507-429b-a901-870d3cb40d30,"Hochbaubeton, Q-A230-M10 D E25, 150 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,368",kg,114.0,78.7,35.2,0.168,0,0,0,0,0.011,0,0,0,0,0.157,0,0,0,0,0.0685,0.0559,0.0126,0,"Béton pour bâtiment, Q-A230-M10 D E25, 150 kg CEM II/B (sans armature)","Élimination, béton"
01.002.14,e60b4954-6452-4870-ae32-51f22f1d1fcc,"Hochbaubeton, Q-A231-M10 D E25, 160 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,378",kg,117.0,81.8,35.2,0.173,0,0,0,0,0.011,0,0,0,0,0.162,0,0,0,0,0.0710,0.0584,0.0126,0,"Béton pour bâtiment, Q-A231-M10 D E25, 160 kg CEM II/B (sans armature)","Élimination, béton"
01.002.15,6e19114f-f267-41b4-8f43-c2e31d346d75,"Hochbaubeton, Q-C330-M D, 180 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,373",kg,125.0,89.7,35.2,0.180,0,0,0,0,0.012,0,0,0,0,0.169,0,0,0,0,0.0768,0.0642,0.0126,0,"Béton pour bâtiment, Q-C330-M D, 180 kg CEM II/B (sans armature)","Élimination, béton"
01.002.16,394fdeed-cf2e-49f0-bbce-6b9410784403,"Hochbaubeton, Q-C331-M D, 185 kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,388",kg,127.0,92.3,35.2,0.185,0,0,0,0,0.012,0,0,0,0,0.173,0,0,0,0,0.0785,0.0659,0.0126,0,"Béton pour bâtiment, Q-C331-M D, 185 kg CEM II/B (sans armature)","Élimination, béton"
01.002.17,6366a0bd-c8a2-49bf-a328-25786d6b1b76,"Hochbaubeton, Q-B265-M10 D E25, 200 kg CEM II/B, 40kg CEM I (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,344",kg,156.0,121.0,35.2,0.227,0,0,0,0,0.015,0,0,0,0,0.212,0,0,0,0,0.1030,0.0905,0.0126,0,"Béton pour bâtiment, Q-B265-M10 D E25, 200 kg CEM II/B, 40kg CEM I (sans armature)","Élimination, béton"
01.002.18,c323cb03-0325-4d2a-aeb4-d3918c01044b,"Hochbaubeton, Q-C365-M D, 220 kg CEM II/B, 40kg CEM I (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,334",kg,163.0,127.0,35.2,0.232,0,0,0,0,0.015,0,0,0,0,0.217,0,0,0,0,0.1070,0.0947,0.0126,0,"Béton pour bâtiment, Q-C365-M D, 220 kg CEM II/B, 40kg CEM I (sans armature)","Élimination, béton"
01.003,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,Tiefbaubeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,350",kg,163,128.0,35.1,0.205,0,0,0,0,0.016,0,0,0,0,0.189,0,0,0,0,0.109,0.096,0.0125,0,Béton pour travaux de génie civil (sans armature),"Élimination, béton"
01.004,4EBAA5FE-7F18-443E-A05A-08185A6165D0,Bohrpfahlbeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,325",kg,174,139,35.1,0.214,0,0,0,0,0.017,0,0,0,0,0.197,0,0,0,0,0.119,0.107,0.0125,0,Béton pour pieux (sans armature),"Élimination, béton"
01.041,3A51918F-AB60-4CE7-A771-A10C3266684A,"Betonfertigteil, hochfester Beton, ab Werk",91.061,"Entsorgung, Beton","2,770",kg,440.0,409.0,31.0,0.773,1,1,0,0,0.076,0,0,0,0,0.697,1,1,0,0,0.276,0.2650,0.01110,0,"Élément préfabriqué en béton, béton à hautes performances, sortie d'usine","Élimination, béton"
01.042,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,"Betonfertigteil, Normalbeton, ab Werk",91.061,"Entsorgung, Beton","2,500",kg,282.0,248.0,33.9,0.527,0,0,0,0,0.095,0,0,0,0,0.432,0,0,0,0,0.177,0.1650,0.01210,0,"Élément préfabriqué en béton, béton normal, sortie d'usine","Élimination, béton"
01.043,DD16B81F-E498-48D6-9754-A1E95558BFFE,Hanfbeton,91.073,"Entsorgungsmix, Hanfbeton",600,kg,665.0,663.0,1.7,1.860,2,1,1,0,0.899,1,0,0.83900 ,0,0.959,1,1,0,0,0.324,0.3240,0.00007,0,Béton chaux-chanvre,"Élimination, béton chaux-chanvre"
02.001,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,Backstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",900,kg,371,328,42.5,0.87,1,1,0,0,0.08,0,0,0,0,0.79,1,1,0,0,0.266,0.254,0.01270,0,Brique en terre cuite,"Élimination, matériaux de construction, minéral, non spécifique"
02.001.01,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,"Backstein, perlitgefüllt, zzwancor",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",575,kg,420,378,43,1.0,1,1,0,0,0.1,0,0,0,0,0.9,1,1,0,0.1,0.28,0.270,0.01,0.00,"Brique en terre cuite, remplie de perlite, zz wancor","Élimination, matériaux de construction, minéral, non spécifique"
02.002,17BF48A3-72AD-4EBB-A2DE-3256129F7031,Kalksandstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","1,400",kg,258,216,42.5,0.43,0,0,0,0,0.04,0,0,0,0,0.39,0,0,0,0,0.162,0.149,0.01270,0,Grès,"Élimination, matériaux de construction, minéral, non spécifique"
02.002.01,564C9F25-EE8A-4799-A049-6D26DF586F05,"Kalksandstein, FBB",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1200-2000,kg,196,153,43,0.4,0.3,0,0,0.1,0.0,0,0,0,0.0,0.3,0.3,0,0,0.1,0.12,0.102,0.01,0.00,"Grès, FBB","Élimination, matériaux de construction, minéral, non spécifique"
02.002.02,adbada8c-108b-4869-a098-bc2cda5c5929,"Kalksandstein, Hunziker Kalksandstein AG",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1200-2000,kg,190,148,43,0.3,0.2,0,0,0.1,0.0,0,0,0,0.0,0.3,0.2,0,0,0.1,0.11,0.094,0.01,0.00,"Grès, Hunziker Kalksandstein AG","Élimination, matériaux de construction, minéral, non spécifique"
02.003,45766F6B-BC17-4725-B939-23AA76838736,Leichtlehmstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",700,kg,353,311,42.5,1.56,2,2,0,0,0.79,1,1,0,0,0.76,1,1,0,0,0.180,0.167,0.01270,0,Brique en argile légère,"Élimination, matériaux de construction, minéral, non spécifique"
02.004,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,"Leichtzementstein, Blähton",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","1,200",kg,609,566,42.5,1.48,1,1,0,0,0.06,0,0,0,0,1.42,1,1,0,0,0.428,0.415,0.01270,0,Pierre en béton léger: argile expansée,"Élimination, matériaux de construction, minéral, non spécifique"
02.005,27B5089E-6003-4920-991A-0BCC005B9434,"Leichtzementstein, Naturbims",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","1,200",kg,322,280,42.5,0.40,0,0,0,0,0.04,0,0,0,0,0.36,0,0,0,0,0.212,0.200,0.01270,0,Pierre en béton léger: pierre ponce naturelle,"Élimination, matériaux de construction, minéral, non spécifique"
02.006,406B9ED4-C9C0-41E2-B945-7844C7313250,Porenbetonstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",500,kg,573,531,42.5,0.93,1,1,0,0,0.07,0,0,0,0,0.86,1,1,0,0,0.426,0.413,0.01270,0,Béton cellulaire,"Élimination, matériaux de construction, minéral, non spécifique"
02.007,69524911-E277-4B29-827D-B8475E4D8C23,Zementstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","1,700",kg,214,172,42.5,0.25,0,0,0,0,0.03,0,0,0,0,0.225,0,0,0,0,0.126,0.114,0.01270,0,Plot de ciment,"Élimination, matériaux de construction, minéral, non spécifique"
03.021,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,Betongranulat 1,91.062,"Entsorgung, Kies und Sand","1,500",kg,43,3,40.2,0.07,0,0,0,0,0.00,0,0,0,0,0.06,0,0,0,0,0.014,0.001,0.01260,0,Granulés de béton 1,"Élimination, gravier et sable"
03.001,D00BA00E-D63B-4109-ADC0-4D9A3367734D,Betonziegel,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch","2,300",kg,326,284,42.5,0.51,0,0,0,0,0.04,0,0,0,0,0.47,0,0,0,0,0.209,0.196,0.01270,0,Tuiles en béton,"Élimination, matériaux de construction, minéral, non spécifique"
03.002,8873B601-8644-4FF4-B2CF-042546B8500D,Faserzement-Dachschindel,91.137,"Entsorgung, Faserzement","1,800",kg,1100,1030,67.8,2.7,3,3,0,0,0.5,0,0,0,0,2.16,2,2,0,0,0.699,0.686,0.0132,0,Bardeau de fibrociment,"Élimination, ciment à fibres"
03.003,EC993875-136D-4857-B06E-BB581EA9DA43,Faserzementplatte gross,91.137,"Entsorgung, Faserzement","1,800",kg,"1,510","1,450",67.8,3.5,3,3,0,0,0.6,1,1,0,0,2.9,3,3,0,0,1.03,1.02,0.0132,0,"Dalle de fibrociment, grande","Élimination, ciment à fibres"
03.004,08C9C771-82D9-4925-8E06-39A4367A8370,Faserzement-Wellplatte,91.137,"Entsorgung, Faserzement","1,800",kg,1060,991,67.8,2.34,2,2,0,0,0.56,1,1,0,0,1.78,2,2,0,0,0.649,0.636,0.0132,0,Plaque ondulée en fibrociment,"Élimination, ciment à fibres"
03.005,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,Flachglas beschichtet,91.032,"Entsorgung, Flachglas","2,500",kg,"1,990","1,920",68.8,4.9,5,5,0,0,0.3,0,0,0,0,4.6,5,5,0,0,1.20,1.18,0.0191,0,"Verre plat, enduit","Élimination, verre plat"
03.006,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,Flachglas unbeschichtet,91.032,"Entsorgung, Flachglas","2,500",kg,"1,790","1,720",68.8,4.2,4,4,0,0,0.1,0,0,0,0,4.1,4,4,0,0,1.140,1.120,0.0191,0,"Verre plat, non enduit","Élimination, verre plat"
03.007,45BEA46B-47E9-425F-926C-AEB31CB4A09D,Gipsfaserplatte,91.063,"Entsorgung, Gipsfaserplatte","1,200",kg,873,801,71.5,2.57,2,2,0,0,0.10,0,0,0,0,2.47,2,2,0,0,0.552,0.533,0.0186,0,Plaque de plâtre armé de fibres,"Élimination, plaque de plâtre armé de fibres"
03.007.01,e2d949c3-d7aa-4074-9ea4-fed438c157d5,Gipsfaserplatte Fermacell,91.063,"Entsorgung, Gipsfaserplatte","1,180",kg,596,524,71.4,2.16,2,2,0,0,0.69,1,1,0,0,1.47,1,1,0,0,0.335,0.317,0.0186,0,Plaque de plâtre armé de fibres Fermacell,"Élimination, plaque de plâtre armé de fibres"
