ID,UUID,name,ID_recycling,recycling_method,density,unit,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product,,
00.015,EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,"Tiefgründung, Ortbetonbohrpfahl, 900 mm",91.088,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 900mm",-,m,"377,000","377,000",0,550,550,550,0,0,44.8,44.8,44.8,0,0,505,505,505,0,0,244,244,0,0,"Fondations profondes, pieu coulé sur site, 900 mm","Élimination, fondations profondes, pieu coulé sur site, 900 mm"
00.016,DEED59B5-BB81-4104-9BAE-D78266DC439E,"Tiefgründung, Ortbetonbohrpfahl, 1200 mm",91.089,"Entsorgung, Tiefgründung, Ortbetonbohrpfahl, 1200mm",-,m,"579,000","579,000",0,822,822,822,0,0,70.8,70.8,70.8,0,0,751,751,751,0,0,379,379,0,0,"Fondations profondes, pieu coulé sur site, 1200 mm","Élimination, fondations profondes, pieu coulé sur site, 1200 mm"
00.017,13247483-F3F9-449C-87D0-6B956AB03E50,"Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm",91.090,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 560/480mm",-,m,"122,000","122,000",0,229,229,229,0,0,13.8,13.8,13.8,0,0,215,215,215,0,0,76.5,76.5,0,0,"Fondations profondes, pieux forés vissés, 560/480 mm","Élimination, fondations profondes, pieux forés vissés, 560/480 mm"
00.018,26ED1BEC-5B9B-4820-8481-A544231F80EE,"Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm",91.091,"Entsorgung, Tiefgründung, Ortbetonverdrängungspfahl 660/580mm",-,m,"153,000","153,000",0,274,274,274,0,0,18.1,18.1,18.1,0,0,256,256,256,0,0,96,96,0,0,"Fondations profondes, pieux forés vissés, 660/580 mm","Élimination, fondations profondes, pieux forés vissés, 660/580 mm"
00.019,4EACB020-C81C-482A-8817-F3DE92E1F6D6,"Tiefgründung, Rüttelstopfsäule",91.092,"Entsorgung, Tiefgründung, Rüttelstopfsäule",-,m,"30,800","30,800",0,30.3,30.3,30.3,0,0,1.55,1.55,1.55,0,0,28.8,28.8,28.8,0,0,6.75,6.75,0,0,"Fondations profondes, colonnes ballastées","Élimination, fondations profondes, colonnes ballastées"
00.020,4FE800F8-909C-4102-9E3F-525A7AD89DCE,"Tiefgründung, Vorgefertigter Betonpfahl",91.093,"Entsorgung, Tiefgründung, Vorgefertigter Betonpfahl",-,m,"44,600","44,600",0,63.9,63.9,63.9,0,0,5.38,5.38,5.38,0,0,58.6,58.6,58.6,0,0,29.2,29.2,0,0,"Fondations profondes, pieu en béton préfabriqué","Élimination, fondations profondes, pieu en béton préfabriqué"
00.021,85D42D88-963C-488B-B94E-C9FD0985CF27,"Wasserhaltung, Pumphöhe 2.5 m",91.094,"Entsorgung, Wasserhaltung, Pumphöhe 2.5m",-,m3,21,21,0,0.107,0.107,0.107,0,0,0.0228,0.0228,0.0228,0,0,0.0837,0.0837,0.0837,0,0,0.00517,0.00517,0,0,"Épuisement des eaux, hauteur de refoulement, 2,5 m","Élimination, épuisement des eaux, hauteur de refoulement, 2,5 m"
00.022,3058E4BA-F5B1-42AF-8905-745801085D2B,"Wasserhaltung, Pumphöhe 5 m",91.095,"Entsorgung, Wasserhaltung, Pumphöhe 5m",-,m3,24.6,24.6,0,0.125,0.125,0.125,0,0,0.0268,0.0268,0.0268,0,0,0.0982,0.0982,0.0982,0,0,0.00604,0.00604,0,0,"Épuisement des eaux, hauteur de refoulement, 5 m","Élimination, épuisement des eaux, hauteur de refoulement, 5 m"
00.023,50066F27-9A16-4226-9BD9-6C53C61B330B,"Wasserhaltung, Pumphöhe 7.5 m",91.096,"Entsorgung, Wasserhaltung, Pumphöhe 7.5m",-,m3,28.6,28.6,0,0.146,0.146,0.146,0,0,0.0312,0.0312,0.0312,0,0,0.114,0.114,0.114,0,0,0.00701,0.00701,0,0,"Épuisement des eaux, hauteur de refoulement, 7,5 m","Élimination, épuisement des eaux, hauteur de refoulement, 7,5 m"
00.024,AA3FB687-B165-4723-8F83-3389DE7747B7,"Wasserhaltung, Pumphöhe 10 m",91.097,"Entsorgung, Wasserhaltung, Pumphöhe 10m",-,m3,33,33,0,0.168,0.168,0.168,0,0,0.036,0.036,0.036,0,0,0.132,0.132,0.132,0,0,0.00807,0.00807,0,0,"Épuisement des eaux, hauteur de refoulement, 10 m","Élimination, épuisement des eaux, hauteur de refoulement, 10 m"
01.001,A05F4D90-D030-49B6-A08A-BAD5228E3552,Magerbeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,150",kg,104,68.8,35.4,0.139,0.0851,0.0851,0,0.0535,0.0103,0.00838,0.00838,0,0.00192,0.128,0.0767,0.0767,0,0.0516,0.0628,0.0502,0.0126,0,Béton maigre (sans armature),"Élimination, béton"
01.001.01,2ad0afc4-ce26-42db-b236-b382bb8b7e50,"Magerbeton, NovoCon Sohlenbeton, 150 kg CEM II/C-M (F-T) (ohne Bewehrung)",91.061,"Entsorgung, Beton","1,610",kg,104,69.1,35.2,0.156,0.103,0.103,0,0.0532,0.0125,0.0106,0.0106,0,0.00191,0.144,0.0923,0.0923,0,0.0513,0.066,0.0534,0.0126,0.00304,"Béton maigre, NovoCon Sohlenbeton, 150 kg CEM II/C-M (F-T) (sans armature)","Élimination, béton"
01.002,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,Hochbaubeton (ohne Bewehrung),91.061,"Entsorgung, Beton","2,300",kg,153,118,35.2,0.19,0.136,0.136,0,0.0532,0.0149,0.013,0.013,0,0.00191,0.175,0.123,0.123,0,0.0513,0.101,0.0887,0.0126,0,Béton pour bâtiment (sans armature),"Élimination, béton"
01.002.01,b192ea20-d93b-4bef-8614-f093119153f2,"Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,269",kg,174,138,35.4,0.799,0.746,0.499,0.246,0.0535,0.581,0.579,0.333,0.246,0.00189,0.218,0.167,0.167,0,0.0516,0.105,0.092,0.0127,0.0253,"Béton Klark Variété A 131-0, 280kg CEM II/B (sans armature)","Élimination, béton"
01.002.02,4df05637-c63d-4717-b192-b8f0c012f9f8,"Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,293",kg,180,145,35.4,0.834,0.781,0.523,0.258,0.0535,0.609,0.607,0.349,0.258,0.00189,0.225,0.174,0.174,0,0.0516,0.11,0.097,0.0127,0.0266,"Béton Klark Variété A 131-0, 300kg CEM II/B (sans armature)","Élimination, béton"
01.002.03,2e9dbf82-4f7c-4a8a-8d4f-db7b19af32dc,"Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,333",kg,187,151,35.4,0.873,0.819,0.548,0.271,0.0535,0.64,0.638,0.367,0.271,0.00189,0.232,0.181,0.181,0,0.0516,0.114,0.101,0.0127,0.0279,"Béton Klark Variété B 231-0, 320kg CEM II/B (sans armature)","Élimination, béton"
01.002.04,0413443a-cd20-4c31-802a-be812508223d,"Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,353",kg,192,157,35.4,0.91,0.856,0.573,0.283,0.0535,0.668,0.666,0.383,0.283,0.00189,0.242,0.19,0.19,0,0.0516,0.119,0.107,0.0127,0.0292,"Béton Klark Variété C 331-0, 340kg CEM II/B (sans armature)","Élimination, béton"
01.002.05,c1989bc1-f9af-493f-b151-024126e43aec,"Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,350",kg,145,109,35.4,0.21,0.156,0.156,0,0.054,0.016,0.014,0.014,0,0.002,0.194,0.142,0.142,0,0.052,0.0967,0.0837,0.013,0.00117,"Béton pour bâtiment, zirkulit® NPK A, 280kg CEM II/B (sans armature)","Élimination, béton"
01.002.06,1d86392d-5541-4bc2-80b1-b16ed591d9b9,"Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung)",91.061,"Entsorgung, Beton","2,350",kg,153,117,35.4,0.218,0.164,0.164,0,0.054,0.0161,0.0141,0.0141,0,0.002,0.201,0.149,0.149,0,0.052,0.102,0.0888,0.013,0.00117,"Béton pour bâtiment, zirkulit® NPK C, 300kg CEM II/B (sans armature)","Élimination, béton"
