hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_01,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_02,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_03,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_04,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_05,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_06,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_07,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_08,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_09,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_10,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_11,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_12,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_13,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_14,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_15,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_16,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_17,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_18,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_19,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_20,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_21,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_22,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Weekday_23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_00,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_01,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_02,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_03,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_04,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_05,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_06,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_07,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_08,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_09,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_10,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_11,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_12,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
Saturday_13,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
