hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility,,
Saturday_10,0.2,0.26,0.75,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_11,0.5,0.29,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_12,0.8,0.27,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_13,0.7,0.25,0.75,0.7,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_14,0.4,0.23,0.75,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_15,0.2,0.23,0.75,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_16,0.25,0.26,0.7,0.25,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_17,0.5,0.26,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_18,0.8,0.24,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_19,0.8,0.22,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_20,0.8,0.2,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_21,0.5,0.18,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_22,0.35,0.09,0.5,0.35,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Saturday_23,0.2,0.03,0.3,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_00,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_01,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_02,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_03,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_04,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_05,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_06,0.1,0.13,0.3,0.1,SETBACK,SETBACK,0.0,0.0,0.0,,
Sunday_07,0.4,0.15,0.3,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_08,0.4,0.18,0.55,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_09,0.4,0.21,0.75,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_10,0.2,0.26,0.75,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_11,0.5,0.29,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_12,0.8,0.27,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_13,0.7,0.25,0.75,0.7,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_14,0.4,0.23,0.75,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_15,0.2,0.23,0.75,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_16,0.25,0.26,0.7,0.25,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_17,0.5,0.26,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_18,0.8,0.24,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_19,0.8,0.22,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_20,0.8,0.2,0.75,0.8,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_21,0.5,0.18,0.75,0.5,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_22,0.35,0.09,0.5,0.35,SETPOINT,SETPOINT,0.0,0.0,0.0,,
Sunday_23,0.2,0.03,0.3,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0,,
