hour,occupancy,appliances,lighting,hot_water,heating,cooling,processes,servers,electromobility
Weekday_00,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_01,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_02,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_03,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_04,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_05,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_06,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_07,0.2,1.0,1.0,0.2,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_08,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_09,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_10,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_11,0.6,1.0,1.0,0.6,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_12,0.6,1.0,1.0,0.6,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_13,0.6,1.0,1.0,0.6,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_14,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_15,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_16,0.6,1.0,1.0,0.6,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_17,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_18,0.6,1.0,1.0,0.6,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_19,0.4,1.0,1.0,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0
Weekday_20,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_21,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_22,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Weekday_23,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_00,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_01,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_02,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_03,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_04,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
Saturday_05,0.0,0.1,0.1,0.0,SETBACK,OFF,0.0,0.0,0.0
