DATE,Hour,Hour2,Month,Day,tintH_set,tintC_set,People,Ve,I_int,w_int,Ealf_nove,Epro,Edata,Qcdata,Qcrefri,Mww,Mw
2/1/2010 21:00,22.00,46,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
2/1/2010 22:00,23.00,47,1,7,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
2/1/2010 23:00,24.00,48,1,7,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 0:00,1.00,49,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 1:00,2.00,50,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 2:00,3.00,51,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 3:00,4.00,52,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 4:00,5.00,53,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 5:00,6.00,54,1,1,-22,44,0.000,0,0,0,0.13,0.0,0.0,0.0,0.0,0,0
3/1/2010 6:00,7.00,55,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 7:00,8.00,56,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 8:00,9.00,57,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 9:00,10.00,58,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 10:00,11.00,59,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 11:00,12.00,60,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 12:00,13.00,61,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 13:00,14.00,62,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 14:00,15.00,63,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 15:00,16.00,64,1,1,-22,44,0.000,0,0,0,0.66,0.0,0.0,0.0,0.0,0,0
3/1/2010 16:00,17.00,65,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 17:00,18.00,66,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
3/1/2010 18:00,19.00,67,1,1,-22,44,0.000,0,0,0,1.33,0.0,0.0,0.0,0.0,0,0
