description,code,U_base,GHG_floor_kgCO2m2,GHG_biogenic_floor_kgCO2m2,Service_Life_floor
TABULA Apartment block 1969 - 1978 Advanced Refurbishment,FLOOR_AB_F_AR,0.21,180,0,30
TABULA High rise 1958 - 1968 Advanced Refurbishment,FLOOR_HR_E_AR,0.2371400185455027,180,0,30
TABULA High rise 1969 - 1978 Advanced Refurbishment,FLOOR_HR_F_AR,0.21,180,0,30
TABULA GDR Multi family house 1949 - 1957,FLOOR_MFH-EAST_D,1.33,180,0,30
TABULA GDR Multi family house 1958 - 1068,FLOOR_MFH-EAST_E,1.08,180,0,30
TABULA GDR Apartment block 1969 - 1978,FLOOR_AB-EAST_F,0.77,180,0,30
TABULA GDR Apartment block 1979 - 1983,FLOOR_AB-EAST_G,0.65,180,0,30
TABULA GDR Apartment block 1984 - 1994,FLOOR_AB-EAST_H,0.51,180,0,30
TABULA GDR High rise 1969 - 1978,FLOOR_HR-EAST_F,0.77,180,0,30
TABULA GDR High rise 1979 - 1983,FLOOR_HR-EAST_G,0.65,180,0,30
TABULA GDR Multi family house 1949 - 1957 Normal Refurbishment,FLOOR_MFH-EAST_D_NR,0.33,180,0,30
TABULA GDR Multi family house 1958 - 1968 Normal Refurbishment,FLOOR_MFH-EAST_E_NR,0.31,180,0,30
TABULA GDR Apartment block 1969 - 1978 Normal Refurbishment,FLOOR_AB-EAST_F_NR,0.28,180,0,30
TABULA GDR Apartment block 1979 - 1983 Normal Refurbishment,FLOOR_AB-EAST_G_NR,0.26,180,0,30
TABULA GDR Apartment block 1984 - 1994 Normal Refurbishment,FLOOR_AB-EAST_H_NR,0.24,180,0,30
TABULA GDR High rise 1969 - 1978 Normal Refurbishment,FLOOR_HR-EAST_F_NR,0.28,180,0,30
TABULA GDR High rise 1979 - 1983 Normal Refurbishment,FLOOR_HR-EAST_G_NR,0.26,180,0,30
TABULA GDR Multi family house 1949 - 1957 Advanced Refurbishment,FLOOR_MFH-EAST_D_AR,0.24,180,0,30
TABULA GDR Multi family house 1958 - 1968 Advanced Refurbishment,FLOOR_MFH-EAST_E_AR,0.23,180,0,30
TABULA GDR Apartment block 1969 - 1978 Advanced Refurbishment,FLOOR_AB-EAST_F_AR,0.21,180,0,30
TABULA GDR Apartment block 1979 - 1983 Advanced Refurbishment,FLOOR_AB-EAST_G_AR,0.2,180,0,30
TABULA GDR Apartment block 1984 - 1994 Advanced Refurbishment,FLOOR_AB-EAST_H_AR,0.19,180,0,30
TABULA GDR High rise 1969 - 1978 Advanced Refurbishment,FLOOR_HR-EAST_F_AR,0.21,180,0,30
TABULA GDR High rise 1979 - 1983 Advanced Refurbishment,FLOOR_HR-EAST_G_AR,0.2,180,0,30
floor non residential building NWG1,FLOOR_BMVBS_A,1.2,180,0,30
floor non residential building NWG2,FLOOR_BMVBS_B,0.85,180,0,30
floor non residential building NWG3,FLOOR_BMVBS_C,0.4,180,0,30
floor non residential building NWG4,FLOOR_BMVBS_D,0.4,180,0,30
"IWU Office, Administrative or Government Buildings 1860 - 1978",FLOOR_NWG_1_A,1.16,180,0,30
"IWU Office, Administrative or Government Buildings 1979 - 2009",FLOOR_NWG_1_B,0.6,180,0,30
"IWU Office, Administrative or Government Buildings 2010 - 2030",FLOOR_NWG_1_C,0.3,180,0,30
IWU Research and University Teaching  (2) 1860 - 1978,FLOOR_NWG_2_A,1.44,180,0,30
IWU Research and University Teaching  (2) 1979 - 2009,FLOOR_NWG_2_B,0.58,180,0,30
IWU Research and University Teaching  (2) 2010 - 2030,FLOOR_NWG_2_C,0.25,180,0,30
IWU Health and Care (3) 1860 - 1978,FLOOR_NWG_3_A,1.31,180,0,30
IWU Health and Care (3) 1979 - 2009,FLOOR_NWG_3_B,0.59,180,0,30
IWU Health and Care (3)  2010 - 2030,FLOOR_NWG_3_C,0.31,180,0,30
"IWU School, Day Nursery and other Care  (4) 1860 - 1978",FLOOR_NWG_4_A,1.12,180,0,30
"IWU School, Day Nursery and other Care  (4) 1979 - 2009",FLOOR_NWG_4_B,0.7,180,0,30
"IWU School, Day Nursery and other Care  (4)  2010 - 2030",FLOOR_NWG_4_C,0.33,180,0,30
IWU Culture and Leisure (5) 1860 - 1978,FLOOR_NWG_5_A,1.16,180,0,30
IWU Culture and Leisure (5) 1979 - 2009,FLOOR_NWG_5_B,0.52,180,0,30
IWU Culture and Leisure (5) 2010 - 2030,FLOOR_NWG_5_C,0.3,180,0,30
IWU Sports Facilities (6) 1860 - 1978,FLOOR_NWG_6_A,1.06,180,0,30
IWU Sports Facilities (6) 1979 - 2009,FLOOR_NWG_6_B,0.66,180,0,30
IWU Sports Facilities (6) 2010 - 2030,FLOOR_NWG_6_C,0.39,180,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 1860 - 1978",FLOOR_NWG_7_A,1.24,180,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 1979 - 2009",FLOOR_NWG_7_B,0.79,180,0,30
"IWU Hotels, Boarding, Restaurants or Catering (7) 2010 - 2030",FLOOR_NWG_7_C,0.38,180,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 1860 - 1978",FLOOR_NWG_8_A,1.12,180,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 1979 - 2009",FLOOR_NWG_8_B,0.54,180,0,30
"IWU Production, Workshop, Warehouse or Operations (8) 2010 - 2030",FLOOR_NWG_8_C,0.28,180,0,30
IWU Trade Buildings (9) 1860 - 1978,FLOOR_NWG_9_A,1.32,180,0,30
IWU Trade Buildings (9) 1979 - 2009,FLOOR_NWG_9_B,0.5,180,0,30
IWU Trade Buildings (9) 2010 - 2030,FLOOR_NWG_9_C,0.33,180,0,30
IWU Technical and Utility (supply and disposal) (10) 1860 - 1978,FLOOR_NWG_10_A,1.3,180,0,30
IWU Technical and Utility (supply and disposal) (10) 1979 - 2009,FLOOR_NWG_10_B,0.55,180,0,30
IWU Technical and Utility (supply and disposal) (10) 2010 - 2030,FLOOR_NWG_10_C,0.24,180,0,30
IWU Transport (11)  1860 - 1978,FLOOR_NWG_11_A,1.43,180,0,30
IWU Transport (11) 1979 - 2009,FLOOR_NWG_11_B,0.68,180,0,30
IWU Transport (11) 2010 - 2030,FLOOR_NWG_11_C,0.22,180,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9)  1860 - 1978",FLOOR_NWG_G1_A,1.2,180,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 1979 - 2009",FLOOR_NWG_G1_B,0.62,180,0,30
"IWU Generalized (1) Services building, Includes categories (1) to (7) and (9) 2010 - 2030",FLOOR_NWG_G1_C,0.31,180,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11)  1860 - 1978",FLOOR_NWG_G2_A,1.14,180,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 1979 - 2009",FLOOR_NWG_G2_B,0.54,180,0,30
"IWU Generalized (2) Production buildings and similar, Includes cat. (8), (10), (11) 2010 - 2030",FLOOR_NWG_G2_C,0.28,180,0,30
"BASE 'IWU Büro-, Verwaltungs- oder Amtsgebäude 1860 - 1978",BASE_NWG_1_A,1.07,180,0,30
"IWU Büro-, Verwaltungs- oder Amtsgebäude 1979 - 2009",BASE_NWG_1_B,0.27,180,0,30
"IWU Büro-, Verwaltungs- oder Amtsgebäude 2010 - 2030",BASE_NWG_1_C,0.21,180,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 1860 - 1978,BASE_NWG_2_A,0.82,180,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 1979 - 2009,BASE_NWG_2_B,0.53,180,0,30
IWU Gebäude für Forschung und Hochschullehre (2) 2010 - 2030,BASE_NWG_2_C,0.23,180,0,30
IWU Gebäude für Gesundheit und Pflege (3) 1860 - 1978,BASE_NWG_3_A,0.7,180,0,30
IWU Gebäude für Gesundheit und Pflege (3) 1979 - 2009,BASE_NWG_3_B,0.25,180,0,30
IWU Gebäude für Gesundheit und Pflege (3)  2010 - 2030,BASE_NWG_3_C,0.14,180,0,30
