description,code,U_roof,a_roof,e_roof,r_roof,GHG_roof_kgCO2m2,GHG_biogenic_roof_kgCO2m2,Service_Life_roof
TABULA Multi family house 1969 - 1978 Normal Refurbishment,ROOF_MFH_F_NR,0.17,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1979 - 1983 Normal Refurbishment,ROOF_MFH_G_NR,0.16,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1984 - 1994 Normal Refurbishment,ROOF_MFH_H_NR,0.16,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 1995 - 2001 Normal Refurbishment,ROOF_MFH_I_NR,0.15,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2002 - 2009 Normal Refurbishment,ROOF_MFH_J_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2010 - 2015 Normal Refurbishment,ROOF_MFH_K_NR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Multi family house 2016 … Normal Refurbishment,ROOF_MFH_L_NR,0.1,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1860 - 1918 Normal Refurbishment,ROOF_TH_B_NR,0.21,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1919 - 1948 Normal Refurbishment,ROOF_TH_C_NR,0.2,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1949 - 1957 Normal Refurbishment,ROOF_TH_D_NR,0.2,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1958 - 1968 Normal Refurbishment,ROOF_TH_E_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1969 - 1978 Normal Refurbishment,ROOF_TH_F_NR,0.19,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1979 - 1983 Normal Refurbishment,ROOF_TH_G_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
TABULA Terraced house 1984 - 1994 Normal Refurbishment,ROOF_TH_H_NR,0.41,0.55,0.91,0.44999999999999996,112,0,60
