description,code,U_win,G_win,e_win,F_F,GHG_win_kgCO2m2,GHG_biogenic_win_kgCO2m2,Service_Life_win
TABULA Apartment block 1969 - 1978,WINDOW_AB_F,3.0,0.75,0.89,0.3,62,0,30
TABULA High rise 1958 - 1968,WINDOW_HR_E,3.0,0.75,0.89,0.3,62,0,30
TABULA High rise 1969 - 1978,WINDOW_HR_F,3.0,0.75,0.89,0.3,62,0,30
TABULA Single family house … 1859 Normal Refurbishment,WINDOW_SFH_A_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Single family house 1860 - 1918 Normal Refurbishment,WINDOW_SFH_B_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Single family house 1919 - 1948 Normal Refurbishment,WINDOW_SFH_C_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1949 - 1957 Normal Refurbishment,WINDOW_SFH_D_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1958 - 1968 Normal Refurbishment,WINDOW_SFH_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1969 - 1978 Normal Refurbishment,WINDOW_SFH_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1979 - 1983 Normal Refurbishment,WINDOW_SFH_G_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1984 - 1994 Normal Refurbishment,WINDOW_SFH_H_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 1995 - 2001 Normal Refurbishment,WINDOW_SFH_I_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 2002 - 2009 Normal Refurbishment,WINDOW_SFH_J_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 2010 - 2015 Normal Refurbishment,WINDOW_SFH_K_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house 2016 … Normal Refurbishment,WINDOW_SFH_L_NR,1.1,0.67,0.02,0.3,123,0,30
TABULA Multi family house … 1859 Normal Refurbishment,WINDOW_MFH_A_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1860 - 1918 Normal Refurbishment,WINDOW_MFH_B_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1919 - 1948 Normal Refurbishment,WINDOW_MFH_C_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1949 - 1957 Normal Refurbishment,WINDOW_MFH_D_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1958 - 1968 Normal Refurbishment,WINDOW_MFH_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1969 - 1978 Normal Refurbishment,WINDOW_MFH_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1979 - 1983 Normal Refurbishment,WINDOW_MFH_G_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1984 - 1994 Normal Refurbishment,WINDOW_MFH_H_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 1995 - 2001 Normal Refurbishment,WINDOW_MFH_I_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 2002 - 2009 Normal Refurbishment,WINDOW_MFH_J_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Multi family house 2010 - 2015 Normal Refurbishment,WINDOW_MFH_K_NR,0.7,0.67,0.02,0.3,123,0,30
TABULA Multi family house 2016 … Normal Refurbishment,WINDOW_MFH_L_NR,1.1,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1860 - 1918 Normal Refurbishment,WINDOW_TH_B_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1919 - 1948 Normal Refurbishment,WINDOW_TH_C_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1949 - 1957 Normal Refurbishment,WINDOW_TH_D_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1958 - 1968 Normal Refurbishment,WINDOW_TH_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1969 - 1978 Normal Refurbishment,WINDOW_TH_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1979 - 1983 Normal Refurbishment,WINDOW_TH_G_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1984 - 1994 Normal Refurbishment,WINDOW_TH_H_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 1995 - 2001 Normal Refurbishment,WINDOW_TH_I_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 2002 - 2009 Normal Refurbishment,WINDOW_TH_J_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 2010 - 2015 Normal Refurbishment,WINDOW_TH_K_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Terraced house 2016 … Normal Refurbishment,WINDOW_TH_L_NR,1.1,0.67,0.02,0.3,123,0,30
TABULA Apartment block 1860 - 1918 Normal Refurbishment,WINDOW_AB_B_NR,1.6,0.67,0.02,0.3,123,0,30
TABULA Apartment block 1919 - 1948 Normal Refurbishment,WINDOW_AB_C_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Apartment block 1949 - 1957 Normal Refurbishment,WINDOW_AB_D_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Apartment block 1958 - 1968 Normal Refurbishment,WINDOW_AB_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Apartment block 1969 - 1978 Normal Refurbishment,WINDOW_AB_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA High rise 1958 - 1968 Normal Refurbishment,WINDOW_HR_E_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA High rise 1969 - 1978 Normal Refurbishment,WINDOW_HR_F_NR,1.3,0.67,0.02,0.3,123,0,30
TABULA Single family house … 1859 Advanced Refurbishment,WINDOW_SFH_A_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1860 - 1918 Advanced Refurbishment,WINDOW_SFH_B_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1919 - 1948 Advanced Refurbishment,WINDOW_SFH_C_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1949 - 1957 Advanced Refurbishment,WINDOW_SFH_D_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1958 - 1968 Advanced Refurbishment,WINDOW_SFH_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1969 - 1978 Advanced Refurbishment,WINDOW_SFH_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1979 - 1983 Advanced Refurbishment,WINDOW_SFH_G_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1984 - 1994 Advanced Refurbishment,WINDOW_SFH_H_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 1995 - 2001 Advanced Refurbishment,WINDOW_SFH_I_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 2002 - 2009 Advanced Refurbishment,WINDOW_SFH_J_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Single family house 2010 - 2015 Advanced Refurbishment,WINDOW_SFH_K_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Single family house 2016 … Advanced Refurbishment,WINDOW_SFH_L_AR,0.7,0.5,0.02,0.3,123,0,30
TABULA Multi family house … 1859 Advanced Refurbishment,WINDOW_MFH_A_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1860 - 1918 Advanced Refurbishment,WINDOW_MFH_B_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1919 - 1948 Advanced Refurbishment,WINDOW_MFH_C_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1949 - 1957 Advanced Refurbishment,WINDOW_MFH_D_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1958 - 1968 Advanced Refurbishment,WINDOW_MFH_E_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1969 - 1978 Advanced Refurbishment,WINDOW_MFH_F_AR,0.8,0.5,0.02,0.3,123,0,30
TABULA Multi family house 1979 - 1983 Advanced Refurbishment,WINDOW_MFH_G_AR,0.8,0.5,0.02,0.3,123,0,30
