,a,b,d
3979,0.0,26,19
3980,0.0,26,20
3981,0.0,26,21
3982,0.0,26,22
3983,0.0,26,23
3984,0.0,26,0
3985,0.0,26,1
3986,0.0,26,2
3987,0.0,26,3
3988,0.0,26,4
3989,0.0,26,5
3990,0.0,26,6
3991,0.0,26,7
3992,0.0,26,8
3993,0.0,26,9
3994,0.0,26,10
3995,0.0,26,11
3996,0.0,26,12
3997,0.0,26,13
3998,0.0,26,14
3999,0.0,26,15
4000,0.0,26,16
4001,0.0,26,17
4002,0.0,26,18
4003,0.0,26,19
4004,0.0,26,20
4005,0.0,26,21
4006,0.0,26,22
4007,0.0,26,23
4008,0.0,26,0
4009,0.0,26,1
4010,0.0,26,2
4011,0.0,26,3
4012,0.0,26,4
4013,0.0,26,5
4014,0.0,26,6
4015,0.0,26,7
4016,0.0,26,8
4017,0.0,26,9
4018,0.0,26,10
4019,0.0,26,11
4020,0.0,26,12
4021,0.0,26,13
4022,0.0,26,14
4023,0.0,26,15
4024,0.0,26,16
4025,0.0,26,17
4026,0.0,26,18
4027,0.0,26,19
4028,0.0,26,20
4029,0.0,26,21
4030,0.0,26,22
4031,0.0,26,23
4032,0.0,26,0
4033,0.0,26,1
4034,0.0,26,2
4035,0.0,26,3
4036,0.0,26,4
4037,0.0,26,5
4038,0.0,26,6
4039,0.0,26,7
4040,0.0,26,8
4041,0.0,26,9
4042,0.0,26,10
4043,0.0,26,11
4044,0.0,26,12
4045,0.0,26,13
4046,0.0,26,14
4047,0.0,26,15
4048,0.0,26,16
4049,0.0,26,17
4050,0.0,26,18
4051,0.0,26,19
4052,0.0,26,20
4053,0.0,26,21
4054,0.0,26,22
4055,0.0,26,23
4056,0.0,26,0
4057,0.0,26,1
4058,0.0,26,2
4059,0.0,26,3
4060,0.0,26,4
4061,0.0,26,5
4062,0.0,26,6
4063,0.0,26,7
4064,0.0,26,8
4065,0.0,26,9
4066,0.0,26,10
4067,0.0,26,11
4068,0.0,26,12
4069,0.0,26,13
4070,0.0,26,14
4071,0.0,26,15
4072,0.0,26,16
4073,0.0,26,17
4074,0.0,26,18
4075,0.0,26,19
4076,0.0,26,20
4077,0.0,26,21
4078,0.0,26,22
4079,0.0,26,23
4080,0.0,26,0
4081,0.0,26,1
4082,0.0,26,2
4083,0.0,26,3
4084,0.0,26,4
4085,0.0,26,5
4086,0.0,26,6
4087,0.0,26,7
4088,0.0,26,8
4089,0.0,26,9
4090,0.0,26,10
4091,0.0,26,11
4092,0.0,26,12
4093,0.0,26,13
4094,0.0,26,14
4095,0.0,26,15
4096,0.0,26,16
4097,0.0,26,17
4098,0.0,26,18
4099,0.0,26,19
4100,0.0,26,20
4101,0.0,26,21
4102,0.0,26,22
4103,0.0,26,23
4104,0.0,26,0
4105,0.0,26,1
4106,0.0,26,2
4107,0.0,26,3
4108,0.0,26,4
4109,0.0,26,5
4110,0.0,26,6
4111,0.0,26,7
4112,0.0,26,8
4113,0.0,26,9
4114,0.0,26,10
4115,0.0,26,11
4116,0.0,26,12
4117,0.0,26,13
4118,0.0,26,14
4119,0.0,26,15
4120,0.0,26,16
4121,0.0,26,17
4122,0.0,26,18
4123,0.0,26,19
4124,0.0,26,20
4125,0.0,26,21
4126,0.0,26,22
4127,0.0,26,23
4128,0.0,26,0
4129,0.0,26,1
4130,0.0,26,2
4131,0.0,26,3
4132,0.0,26,4
4133,0.0,26,5
4134,0.0,26,6
4135,0.0,26,7
4136,0.0,26,8
4137,0.0,26,9
4138,0.0,26,10
4139,0.0,26,11
4140,0.0,26,12
4141,0.0,26,13
4142,0.0,26,14
4143,0.0,26,15
4144,0.0,26,16
4145,0.0,26,17
4146,0.0,26,18
4147,0.0,26,19
4148,0.0,26,20
4149,0.0,26,21
4150,0.0,26,22
4151,0.0,26,23
4152,0.0,26,0
4153,0.0,26,1
4154,0.0,26,2
4155,0.0,26,3
4156,0.0,26,4
4157,0.0,26,5
4158,0.0,26,6
4159,0.0,26,7
4160,0.0,26,8
4161,0.0,26,9
4162,0.0,26,10
4163,0.0,26,11
4164,0.0,26,12
4165,0.0,26,13
4166,0.0,26,14
4167,0.0,26,15
4168,0.0,26,16
4169,0.0,26,17
4170,0.0,26,18
4171,0.0,26,19
4172,0.0,26,20
4173,0.0,26,21
4174,0.0,26,22
4175,0.0,26,23
4176,0.0,26,0
4177,0.0,26,1
4178,0.0,26,2
4179,0.0,26,3
4180,0.0,26,4
4181,0.0,26,5
4182,0.0,26,6
4183,0.0,26,7
4184,0.0,26,8
4185,0.0,26,9
4186,0.0,26,10
4187,0.0,26,11
4188,0.0,26,12
4189,0.0,26,13
4190,0.0,26,14
4191,0.0,26,15
4192,0.0,26,16
4193,0.0,26,17
4194,0.0,26,18
4195,0.0,26,19
4196,0.0,26,20
4197,0.0,26,21
4198,0.0,26,22
4199,0.0,26,23
4200,0.0,26,0
4201,0.0,26,1
4202,0.0,26,2
4203,0.0,26,3
4204,0.0,26,4
4205,0.0,26,5
4206,0.0,26,6
4207,0.0,26,7
4208,0.0,26,8
4209,0.0,26,9
4210,0.0,26,10
4211,0.0,26,11
4212,0.0,26,12
4213,0.0,26,13
4214,0.0,26,14
4215,0.0,26,15
4216,0.0,26,16
4217,0.0,26,17
4218,0.0,26,18
4219,0.0,26,19
4220,0.0,26,20
4221,0.0,26,21
4222,0.0,26,22
4223,0.0,26,23
4224,0.0,26,0
4225,0.0,26,1
4226,0.0,26,2
4227,0.0,26,3
4228,0.0,26,4
4229,0.0,26,5
4230,0.0,26,6
4231,0.0,26,7
4232,0.0,26,8
4233,0.0,26,9
4234,0.0,26,10
4235,0.0,26,11
4236,0.0,26,12
4237,0.0,26,13
4238,0.0,26,14
4239,0.0,26,15
4240,0.0,26,16
4241,0.0,26,17
4242,0.0,26,18
4243,0.0,26,19
4244,0.0,26,20
4245,0.0,26,21
4246,0.0,26,22
4247,0.0,26,23
4248,0.0,26,0
4249,0.0,26,1
4250,0.0,26,2
4251,0.0,26,3
4252,0.0,26,4
4253,0.0,26,5
4254,0.0,26,6
4255,0.0,26,7
4256,0.0,26,8
4257,0.0,26,9
4258,0.0,26,10
4259,0.0,26,11
4260,0.0,26,12
4261,0.0,26,13
4262,0.0,26,14
4263,0.0,26,15
4264,0.0,26,16
4265,0.0,26,17
4266,0.0,26,18
4267,0.0,26,19
4268,0.0,26,20
4269,0.0,26,21
4270,0.0,26,22
4271,0.0,26,23
4272,0.0,26,0
4273,0.0,26,1
4274,0.0,26,2
4275,0.0,26,3
4276,0.0,26,4
4277,0.0,26,5
4278,0.0,26,6
4279,0.0,26,7
4280,0.0,26,8
4281,0.0,26,9
4282,0.0,26,10
4283,0.0,26,11
4284,0.0,26,12
4285,0.0,26,13
4286,0.0,26,14
4287,0.0,26,15
4288,0.0,26,16
4289,0.0,26,17
4290,0.0,26,18
4291,0.0,26,19
4292,0.0,26,20
4293,0.0,26,21
4294,0.0,26,22
4295,0.0,26,23
4296,0.0,26,0
4297,0.0,26,1
4298,0.0,26,2
4299,0.0,26,3
4300,0.0,26,4
4301,0.0,26,5
4302,0.0,26,6
4303,0.0,26,7
4304,0.0,26,8
4305,0.0,26,9
4306,0.0,26,10
4307,0.0,26,11
4308,0.0,26,12
4309,0.0,26,13
4310,0.0,26,14
4311,0.0,26,15
4312,0.0,26,16
4313,0.0,26,17
4314,0.0,26,18
4315,0.0,26,19
4316,0.0,26,20
4317,0.0,26,21
4318,0.0,26,22
4319,0.0,26,23
4320,0.0,26,0
4321,0.0,26,1
4322,0.0,26,2
4323,0.0,26,3
4324,0.0,26,4
4325,0.0,26,5
4326,0.0,26,6
4327,0.0,26,7
4328,0.0,26,8
4329,0.0,26,9
4330,0.0,26,10
4331,0.0,26,11
4332,0.0,26,12
4333,0.0,26,13
4334,0.0,26,14
4335,0.0,26,15
4336,0.0,26,16
4337,0.0,26,17
4338,0.0,26,18
4339,0.0,26,19
4340,0.0,26,20
4341,0.0,26,21
4342,0.0,26,22
4343,0.0,26,23
4344,0.0,26,0
4345,0.0,26,1
4346,0.0,26,2
4347,0.0,26,3
4348,0.0,26,4
4349,0.0,26,5
4350,0.0,26,6
4351,0.0,26,7
4352,0.0,26,8
4353,0.0,26,9
4354,0.0,26,10
4355,0.0,26,11
4356,0.0,26,12
4357,0.0,26,13
4358,0.0,26,14
4359,0.0,26,15
4360,0.0,26,16
4361,0.0,26,17
4362,0.0,26,18
4363,0.0,26,19
4364,0.0,26,20
4365,0.0,26,21
4366,0.0,26,22
4367,0.0,26,23
4368,0.0,26,0
4369,0.0,26,1
4370,0.0,26,2
4371,0.0,26,3
4372,0.0,26,4
4373,0.0,26,5
4374,0.0,26,6
4375,0.0,26,7
4376,0.0,26,8
4377,0.0,26,9
4378,0.0,26,10
4379,0.0,26,11
4380,0.0,26,12
4381,0.0,26,13
4382,0.0,26,14
4383,0.0,26,15
4384,0.0,26,16
4385,0.0,26,17
4386,0.0,26,18
4387,0.0,26,19
4388,0.0,26,20
4389,0.0,26,21
4390,0.0,26,22
4391,0.0,26,23
4392,0.0,26,0
4393,0.0,26,1
4394,0.0,26,2
4395,0.0,26,3
4396,0.0,26,4
4397,0.0,26,5
4398,0.0,26,6
4399,0.0,26,7
4400,0.0,26,8
4401,0.0,26,9
4402,0.0,26,10
4403,0.0,26,11
4404,0.0,26,12
4405,0.0,26,13
4406,0.0,26,14
4407,0.0,26,15
4408,0.0,26,16
4409,0.0,26,17
4410,0.0,26,18
4411,0.0,26,19
4412,0.0,26,20
4413,0.0,26,21
4414,0.0,26,22
4415,0.0,26,23
4416,0.0,26,0
4417,0.0,26,1
4418,0.0,26,2
4419,0.0,26,3
4420,0.0,26,4
4421,0.0,26,5
4422,0.0,26,6
4423,0.0,26,7
4424,0.0,26,8
4425,0.0,26,9
4426,0.0,26,10
4427,0.0,26,11
4428,0.0,26,12
4429,0.0,26,13
4430,0.0,26,14
4431,0.0,26,15
4432,0.0,26,16
4433,0.0,26,17
4434,0.0,26,18
4435,0.0,26,19
4436,0.0,26,20
4437,0.0,26,21
4438,0.0,26,22
4439,0.0,26,23
4440,0.0,26,0
4441,0.0,26,1
4442,0.0,26,2
4443,0.0,26,3
4444,0.0,26,4
4445,0.0,26,5
4446,0.0,26,6
4447,0.0,26,7
4448,0.0,26,8
4449,0.0,26,9
4450,0.0,26,10
4451,0.0,26,11
4452,0.0,26,12
4453,0.0,26,13
4454,0.0,26,14
4455,0.0,26,15
4456,0.0,26,16
4457,0.0,26,17
4458,0.0,26,18
4459,0.0,26,19
4460,0.0,26,20
4461,0.0,26,21
4462,0.0,26,22
4463,0.0,26,23
4464,0.0,26,0
4465,0.0,26,1
4466,0.0,26,2
4467,0.0,26,3
4468,0.0,26,4
4469,0.0,26,5
4470,0.0,26,6
4471,0.0,26,7
4472,0.0,26,8
4473,0.0,26,9
4474,0.0,26,10
4475,0.0,26,11
4476,0.0,26,12
4477,0.0,26,13
4478,0.0,26,14
4479,0.0,26,15
4480,0.0,26,16
4481,0.0,26,17
4482,0.0,26,18
4483,0.0,26,19
4484,0.0,26,20
4485,0.0,26,21
4486,0.0,26,22
4487,0.0,26,23
4488,0.0,26,0
4489,0.0,26,1
4490,0.0,26,2
4491,0.0,26,3
4492,0.0,26,4
4493,0.0,26,5
4494,0.0,26,6
4495,0.0,26,7
4496,0.0,26,8
4497,0.0,26,9
4498,0.0,26,10
4499,0.0,26,11
4500,0.0,26,12
4501,0.0,26,13
4502,0.0,26,14
4503,0.0,26,15
4504,0.0,26,16
4505,0.0,26,17
4506,0.0,26,18
4507,0.0,26,19
4508,0.0,26,20
4509,0.0,26,21
4510,0.0,26,22
4511,0.0,26,23
4512,0.0,26,0
4513,0.0,26,1
4514,0.0,26,2
4515,0.0,26,3
4516,0.0,26,4
4517,0.0,26,5
4518,0.0,26,6
4519,0.0,26,7
4520,0.0,26,8
4521,0.0,26,9
4522,0.0,26,10
4523,0.0,26,11
4524,0.0,26,12
4525,0.0,26,13
4526,0.0,26,14
4527,0.0,26,15
4528,0.0,26,16
4529,0.0,26,17
4530,0.0,26,18
4531,0.0,26,19
4532,0.0,26,20
4533,0.0,26,21
4534,0.0,26,22
4535,0.0,26,23
4536,0.0,26,0
4537,0.0,26,1
4538,0.0,26,2
4539,0.0,26,3
4540,0.0,26,4
4541,0.0,26,5
4542,0.0,26,6
4543,0.0,26,7
4544,0.0,26,8
4545,0.0,26,9
4546,0.0,26,10
4547,0.0,26,11
4548,0.0,26,12
4549,0.0,26,13
4550,0.0,26,14
4551,0.0,26,15
4552,0.0,26,16
4553,0.0,26,17
4554,0.0,26,18
4555,0.0,26,19
4556,0.0,26,20
4557,0.0,26,21
4558,0.0,26,22
4559,0.0,26,23
4560,0.0,26,0
4561,0.0,26,1
4562,0.0,26,2
4563,0.0,26,3
4564,0.0,26,4
4565,0.0,26,5
4566,0.0,26,6
4567,0.0,26,7
4568,0.0,26,8
4569,0.0,26,9
4570,0.0,26,10
4571,0.0,26,11
4572,0.0,26,12
4573,0.0,26,13
4574,0.0,26,14
4575,0.0,26,15
4576,0.0,26,16
4577,0.0,26,17
4578,0.0,26,18
4579,0.0,26,19
4580,0.0,26,20
4581,0.0,26,21
4582,0.0,26,22
4583,0.0,26,23
4584,0.0,26,0
4585,0.0,26,1
4586,0.0,26,2
4587,0.0,26,3
4588,0.0,26,4
4589,0.0,26,5
4590,0.0,26,6
4591,0.0,26,7
4592,0.0,26,8
4593,0.0,26,9
4594,0.0,26,10
4595,0.0,26,11
4596,0.0,26,12
4597,0.0,26,13
4598,0.0,26,14
4599,0.0,26,15
4600,0.0,26,16
4601,0.0,26,17
4602,0.0,26,18
4603,0.0,26,19
4604,0.0,26,20
4605,0.0,26,21
4606,0.0,26,22
4607,0.0,26,23
4608,0.0,26,0
4609,0.0,26,1
4610,0.0,26,2
4611,0.0,26,3
4612,0.0,26,4
4613,0.0,26,5
4614,0.0,26,6
4615,0.0,26,7
4616,0.0,26,8
4617,0.0,26,9
4618,0.0,26,10
4619,0.0,26,11
4620,0.0,26,12
4621,0.0,26,13
4622,0.0,26,14
4623,0.0,26,15
4624,0.0,26,16
4625,0.0,26,17
4626,0.0,26,18
4627,0.0,26,19
4628,0.0,26,20
4629,0.0,26,21
4630,0.0,26,22
4631,0.0,26,23
4632,0.0,26,0
4633,0.0,26,1
4634,0.0,26,2
4635,0.0,26,3
4636,0.0,26,4
4637,0.0,26,5
4638,0.0,26,6
4639,0.0,26,7
4640,0.0,26,8
4641,0.0,26,9
4642,0.0,26,10
4643,0.0,26,11
4644,0.0,26,12
4645,0.0,26,13
4646,0.0,26,14
4647,0.0,26,15
4648,0.0,26,16
4649,0.0,26,17
4650,0.0,26,18
4651,0.0,26,19
4652,0.0,26,20
4653,0.0,26,21
4654,0.0,26,22
4655,0.0,26,23
4656,0.0,26,0
4657,0.0,26,1
4658,0.0,26,2
4659,0.0,26,3
4660,0.0,26,4
4661,0.0,26,5
4662,0.0,26,6
4663,0.0,26,7
4664,0.0,26,8
4665,0.0,26,9
4666,0.0,26,10
4667,0.0,26,11
4668,0.0,26,12
4669,0.0,26,13
4670,0.0,26,14
4671,0.0,26,15
4672,0.0,26,16
4673,0.0,26,17
4674,0.0,26,18
4675,0.0,26,19
4676,0.0,26,20
4677,0.0,26,21
4678,0.0,26,22
4679,0.0,26,23
4680,0.0,26,0
4681,0.0,26,1
4682,0.0,26,2
4683,0.0,26,3
4684,0.0,26,4
4685,0.0,26,5
4686,0.0,26,6
4687,0.0,26,7
4688,0.0,26,8
4689,0.0,26,9
4690,0.0,26,10
4691,0.0,26,11
4692,0.0,26,12
4693,0.0,26,13
4694,0.0,26,14
4695,0.0,26,15
4696,0.0,26,16
4697,0.0,26,17
4698,0.0,26,18
4699,0.0,26,19
4700,0.0,26,20
4701,0.0,26,21
4702,0.0,26,22
4703,0.0,26,23
4704,0.0,26,0
4705,0.0,26,1
4706,0.0,26,2
4707,0.0,26,3
4708,0.0,26,4
4709,0.0,26,5
4710,0.0,26,6
4711,0.0,26,7
4712,0.0,26,8
4713,0.0,26,9
4714,0.0,26,10
4715,0.0,26,11
4716,0.0,26,12
4717,0.0,26,13
4718,0.0,26,14
4719,0.0,26,15
4720,0.0,26,16
4721,0.0,26,17
4722,0.0,26,18
4723,0.0,26,19
4724,0.0,26,20
4725,0.0,26,21
4726,0.0,26,22
4727,0.0,26,23
4728,0.0,26,0
4729,0.0,26,1
4730,0.0,26,2
4731,0.0,26,3
4732,0.0,26,4
4733,0.0,26,5
4734,0.0,26,6
4735,0.0,26,7
4736,0.0,26,8
4737,0.0,26,9
4738,0.0,26,10
4739,0.0,26,11
4740,0.0,26,12
4741,0.0,26,13
4742,0.0,26,14
4743,0.0,26,15
4744,0.0,26,16
4745,0.0,26,17
4746,0.0,26,18
4747,0.0,26,19
4748,0.0,26,20
4749,0.0,26,21
4750,0.0,26,22
4751,0.0,26,23
4752,0.0,26,0
4753,0.0,26,1
4754,0.0,26,2
4755,0.0,26,3
4756,0.0,26,4
4757,0.0,26,5
4758,0.0,26,6
4759,0.0,26,7
4760,0.0,26,8
4761,0.0,26,9
4762,0.0,26,10
4763,0.0,26,11
4764,0.0,26,12
4765,0.0,26,13
4766,0.0,26,14
4767,0.0,26,15
4768,0.0,26,16
4769,0.0,26,17
4770,0.0,26,18
4771,0.0,26,19
4772,0.0,26,20
4773,0.0,26,21
4774,0.0,26,22
4775,0.0,26,23
4776,0.0,26,0
4777,0.0,26,1
4778,0.0,26,2
4779,0.0,26,3
4780,0.0,26,4
4781,0.0,26,5
4782,0.0,26,6
4783,0.0,26,7
4784,0.0,26,8
4785,0.0,26,9
4786,0.0,26,10
4787,0.0,26,11
4788,0.0,26,12
4789,0.0,26,13
4790,0.0,26,14
4791,0.0,26,15
4792,0.0,26,16
4793,0.0,26,17
4794,0.0,26,18
4795,0.0,26,19
4796,0.0,26,20
4797,0.0,26,21
4798,0.0,26,22
4799,0.0,26,23
4800,0.0,26,0
4801,0.0,26,1
4802,0.0,26,2
4803,0.0,26,3
4804,0.0,26,4
4805,0.0,26,5
4806,0.0,26,6
4807,0.0,26,7
4808,0.0,26,8
4809,0.0,26,9
4810,0.0,26,10
4811,0.0,26,11
4812,0.0,26,12
4813,0.0,26,13
4814,0.0,26,14
4815,0.0,26,15
4816,0.0,26,16
4817,0.0,26,17
4818,0.0,26,18
4819,0.0,26,19
4820,0.0,26,20
4821,0.0,26,21
4822,0.0,26,22
4823,0.0,26,23
4824,0.0,26,0
4825,0.0,26,1
4826,0.0,26,2
4827,0.0,26,3
4828,0.0,26,4
4829,0.0,26,5
4830,0.0,26,6
4831,0.0,26,7
4832,0.0,26,8
4833,0.0,26,9
4834,0.0,26,10
4835,0.0,26,11
4836,0.0,26,12
4837,0.0,26,13
4838,0.0,26,14
4839,0.0,26,15
4840,0.0,26,16
4841,0.0,26,17
4842,0.0,26,18
4843,0.0,26,19
4844,0.0,26,20
4845,0.0,26,21
4846,0.0,26,22
4847,0.0,26,23
4848,0.0,26,0
4849,0.0,26,1
4850,0.0,26,2
4851,0.0,26,3
4852,0.0,26,4
4853,0.0,26,5
4854,0.0,26,6
4855,0.0,26,7
4856,0.0,26,8
4857,0.0,26,9
4858,0.0,26,10
4859,0.0,26,11
4860,0.0,26,12
4861,0.0,26,13
4862,0.0,26,14
4863,0.0,26,15
4864,0.0,26,16
4865,0.0,26,17
4866,0.0,26,18
4867,0.0,26,19
4868,0.0,26,20
4869,0.0,26,21
4870,0.0,26,22
4871,0.0,26,23
4872,0.0,26,0
4873,0.0,26,1
4874,0.0,26,2
4875,0.0,26,3
4876,0.0,26,4
4877,0.0,26,5
4878,0.0,26,6
4879,0.0,26,7
4880,0.0,26,8
4881,0.0,26,9
4882,0.0,26,10
4883,0.0,26,11
4884,0.0,26,12
4885,0.0,26,13
4886,0.0,26,14
4887,0.0,26,15
4888,0.0,26,16
4889,0.0,26,17
4890,0.0,26,18
4891,0.0,26,19
4892,0.0,26,20
4893,0.0,26,21
4894,0.0,26,22
4895,0.0,26,23
4896,0.0,26,0
4897,0.0,26,1
4898,0.0,26,2
4899,0.0,26,3
4900,0.0,26,4
4901,0.0,26,5
4902,0.0,26,6
4903,0.0,26,7
4904,0.0,26,8
4905,0.0,26,9
4906,0.0,26,10
4907,0.0,26,11
4908,0.0,26,12
4909,0.0,26,13
4910,0.0,26,14
4911,0.0,26,15
4912,0.0,26,16
4913,0.0,26,17
4914,0.0,26,18
4915,0.0,26,19
4916,0.0,26,20
4917,0.0,26,21
4918,0.0,26,22
4919,0.0,26,23
4920,0.0,26,0
4921,0.0,26,1
4922,0.0,26,2
4923,0.0,26,3
4924,0.0,26,4
4925,0.0,26,5
4926,0.0,26,6
4927,0.0,26,7
4928,0.0,26,8
4929,0.0,26,9
4930,0.0,26,10
4931,0.0,26,11
4932,0.0,26,12
4933,0.0,26,13
4934,0.0,26,14
4935,0.0,26,15
4936,0.0,26,16
4937,0.0,26,17
4938,0.0,26,18
4939,0.0,26,19
4940,0.0,26,20
4941,0.0,26,21
4942,0.0,26,22
4943,0.0,26,23
4944,0.0,26,0
4945,0.0,26,1
4946,0.0,26,2
4947,0.0,26,3
4948,0.0,26,4
4949,0.0,26,5
4950,0.0,26,6
4951,0.0,26,7
4952,0.0,26,8
4953,0.0,26,9
4954,0.0,26,10
4955,0.0,26,11
4956,0.0,26,12
4957,0.0,26,13
4958,0.0,26,14
4959,0.0,26,15
4960,0.0,26,16
4961,0.0,26,17
4962,0.0,26,18
4963,0.0,26,19
4964,0.0,26,20
4965,0.0,26,21
4966,0.0,26,22
4967,0.0,26,23
4968,0.0,26,0
4969,0.0,26,1
4970,0.0,26,2
4971,0.0,26,3
4972,0.0,26,4
4973,0.0,26,5
4974,0.0,26,6
4975,0.0,26,7
4976,0.0,26,8
4977,0.0,26,9
4978,0.0,26,10
4979,0.0,26,11
4980,0.0,26,12
4981,0.0,26,13
4982,0.0,26,14
4983,0.0,26,15
4984,0.0,26,16
4985,0.0,26,17
4986,0.0,26,18
4987,0.0,26,19
4988,0.0,26,20
4989,0.0,26,21
4990,0.0,26,22
4991,0.0,26,23
4992,0.0,26,0
4993,0.0,26,1
4994,0.0,26,2
4995,0.0,26,3
4996,0.0,26,4
4997,0.0,26,5
4998,0.0,26,6
4999,0.0,26,7
5000,0.0,26,8
5001,0.0,26,9
5002,0.0,26,10
5003,0.0,26,11
5004,0.0,26,12
5005,0.0,26,13
5006,0.0,26,14
5007,0.0,26,15
5008,0.0,26,16
5009,0.0,26,17
5010,0.0,26,18
5011,0.0,26,19
5012,0.0,26,20
5013,0.0,26,21
5014,0.0,26,22
5015,0.0,26,23
5016,0.0,26,0
5017,0.0,26,1
5018,0.0,26,2
5019,0.0,26,3
5020,0.0,26,4
5021,0.0,26,5
5022,0.0,26,6
5023,0.0,26,7
5024,0.0,26,8
5025,0.0,26,9
5026,0.0,26,10
5027,0.0,26,11
5028,0.0,26,12
5029,0.0,26,13
5030,0.0,26,14
5031,0.0,26,15
5032,0.0,26,16
5033,0.0,26,17
5034,0.0,26,18
5035,0.0,26,19
5036,0.0,26,20
5037,0.0,26,21
5038,0.0,26,22
5039,0.0,26,23
5040,0.0,26,0
5041,0.0,26,1
5042,0.0,26,2
5043,0.0,26,3
5044,0.0,26,4
5045,0.0,26,5
5046,0.0,26,6
5047,0.0,26,7
5048,0.0,26,8
5049,0.0,26,9
5050,0.0,26,10
5051,0.0,26,11
5052,0.0,26,12
5053,0.0,26,13
5054,0.0,26,14
5055,0.0,26,15
5056,0.0,26,16
5057,0.0,26,17
5058,0.0,26,18
5059,0.0,26,19
5060,0.0,26,20
5061,0.0,26,21
5062,0.0,26,22
5063,0.0,26,23
5064,0.0,26,0
5065,0.0,26,1
5066,0.0,26,2
5067,0.0,26,3
5068,0.0,26,4
5069,0.0,26,5
5070,0.0,26,6
5071,0.0,26,7
5072,0.0,26,8
5073,0.0,26,9
5074,0.0,26,10
5075,0.0,26,11
5076,0.0,26,12
5077,0.0,26,13
5078,0.0,26,14
5079,0.0,26,15
5080,0.0,26,16
5081,0.0,26,17
5082,0.0,26,18
5083,0.0,26,19
5084,0.0,26,20
5085,0.0,26,21
5086,0.0,26,22
5087,0.0,26,23
5088,0.0,26,0
5089,0.0,26,1
5090,0.0,26,2
5091,0.0,26,3
5092,0.0,26,4
5093,0.0,26,5
5094,0.0,26,6
5095,0.0,26,7
5096,0.0,26,8
5097,0.0,26,9
5098,0.0,26,10
5099,0.0,26,11
5100,0.0,26,12
5101,0.0,26,13
5102,0.0,26,14
5103,0.0,26,15
5104,0.0,26,16
5105,0.0,26,17
5106,0.0,26,18
5107,0.0,26,19
5108,0.0,26,20
5109,0.0,26,21
5110,0.0,26,22
5111,0.0,26,23
5112,0.0,26,0
5113,0.0,26,1
5114,0.0,26,2
5115,0.0,26,3
5116,0.0,26,4
5117,0.0,26,5
5118,0.0,26,6
5119,0.0,26,7
5120,0.0,26,8
5121,0.0,26,9
5122,0.0,26,10
5123,0.0,26,11
5124,0.0,26,12
5125,0.0,26,13
5126,0.0,26,14
5127,0.0,26,15
5128,0.0,26,16
5129,0.0,26,17
5130,0.0,26,18
5131,0.0,26,19
5132,0.0,26,20
5133,0.0,26,21
5134,0.0,26,22
5135,0.0,26,23
5136,0.0,26,0
5137,0.0,26,1
5138,0.0,26,2
5139,0.0,26,3
5140,0.0,26,4
5141,0.0,26,5
5142,0.0,26,6
5143,0.0,26,7
5144,0.0,26,8
5145,0.0,26,9
5146,0.0,26,10
5147,0.0,26,11
5148,0.0,26,12
5149,0.0,26,13
5150,0.0,26,14
5151,0.0,26,15
5152,0.0,26,16
5153,0.0,26,17
5154,0.0,26,18
5155,0.0,26,19
5156,0.0,26,20
5157,0.0,26,21
5158,0.0,26,22
5159,0.0,26,23
5160,0.0,26,0
5161,0.0,26,1
5162,0.0,26,2
5163,0.0,26,3
5164,0.0,26,4
5165,0.0,26,5
5166,0.0,26,6
5167,0.0,26,7
5168,0.0,26,8
5169,0.0,26,9
5170,0.0,26,10
5171,0.0,26,11
5172,0.0,26,12
5173,0.0,26,13
5174,0.0,26,14
5175,0.0,26,15
5176,0.0,26,16
5177,0.0,26,17
5178,0.0,26,18
5179,0.0,26,19
5180,0.0,26,20
5181,0.0,26,21
5182,0.0,26,22
5183,0.0,26,23
5184,0.0,26,0
5185,0.0,26,1
5186,0.0,26,2
5187,0.0,26,3
5188,0.0,26,4
5189,0.0,26,5
5190,0.0,26,6
5191,0.0,26,7
5192,0.0,26,8
5193,0.0,26,9
5194,0.0,26,10
5195,0.0,26,11
5196,0.0,26,12
5197,0.0,26,13
5198,0.0,26,14
5199,0.0,26,15
5200,0.0,26,16
5201,0.0,26,17
5202,0.0,26,18
5203,0.0,26,19
5204,0.0,26,20
5205,0.0,26,21
5206,0.0,26,22
5207,0.0,26,23
5208,0.0,26,0
5209,0.0,26,1
5210,0.0,26,2
5211,0.0,26,3
5212,0.0,26,4
5213,0.0,26,5
5214,0.0,26,6
5215,0.0,26,7
5216,0.0,26,8
5217,0.0,26,9
5218,0.0,26,10
5219,0.0,26,11
5220,0.0,26,12
5221,0.0,26,13
5222,0.0,26,14
5223,0.0,26,15
5224,0.0,26,16
5225,0.0,26,17
5226,0.0,26,18
5227,0.0,26,19
5228,0.0,26,20
5229,0.0,26,21
5230,0.0,26,22
5231,0.0,26,23
5232,0.0,26,0
5233,0.0,26,1
5234,0.0,26,2
5235,0.0,26,3
5236,0.0,26,4
5237,0.0,26,5
5238,0.0,26,6
5239,0.0,26,7
5240,0.0,26,8
5241,0.0,26,9
5242,0.0,26,10
5243,0.0,26,11
5244,0.0,26,12
5245,0.0,26,13
5246,0.0,26,14
5247,0.0,26,15
5248,0.0,26,16
5249,0.0,26,17
5250,0.0,26,18
